hometeam,awayteam,hometeamodds_dk,awayteamodds_dk,ou
OAK,TEX,0.4572564613405057,0.5427435386594943,7.5
CLE,DET,0.5514411134008372,0.4485588865991628,8.5
PHI,TOR,0.5634920623536956,0.4365079376463043,8.5
CIN,ARI,0.4572564613405057,0.5427435386594943,9.0
PIT,LAA,0.5427435386594943,0.4572564613405057,8.5
WAS,BAL,0.355270821500165,0.644729178499835,8.5
TB,CWS,0.6853932584269662,0.31460674157303375,8.0
NYY,HOU,0.5173641257223942,0.48263587427760585,8.0
ATL,BOS,0.6164383554888346,0.3835616445111653,9.0
KC,MIL,0.5324675324675324,0.4675324675324676,8.5
MIN,SEA,0.5720596349287028,0.4279403650712972,8.0
CHC,SD,0.5720596349287028,0.4279403650712972,8.5
STL,NYM,0.5217391295274103,0.47826087047258975,8.5
COL,SF,0.4170073603834652,0.5829926396165348,10.0
LAD,MIA,0.7408716132268129,0.25912838677318706,8.0
