hometeam,awayteam,hometeamodds_dk,awayteamodds_dk,ou,homepitcher,awaypitcher,date
PHI,NYM,0.5634920623536956,0.4365079376463043,11.0,Taijuan Walker,Jose Quintana,2024-06-09T14:10:00.0000000Z
WAS,ATL,0.40036122839240407,0.5996387716075959,9.5,DJ Herz,Hurston Waldrep,2024-06-09T17:35:00.0000000Z
PIT,MIN,0.49567024634455015,0.5043297536554499,8.0,Jared Jones,Bailey Ober,2024-06-09T17:35:00.0000000Z
TB,BAL,0.43650793764630424,0.5634920623536958,7.5,Zack Littell,Grayson Rodriguez,2024-06-09T17:40:00.0000000Z
CIN,CHC,0.4675324675324676,0.5324675324675324,9.0,Frankie Montas,Shota Imanaga,2024-06-09T17:40:00.0000000Z
MIA,CLE,0.48916576318717286,0.5108342368128271,8.5,Trevor Rogers,Carlos Carrasco,2024-06-09T17:40:00.0000000Z
DET,MIL,0.6092362331597097,0.39076376684029035,7.5,Tarik Skubal,Bryse Wilson,2024-06-09T17:40:00.0000000Z
KC,SEA,0.5260865840488141,0.47391341595118586,8.0,Cole Ragans,George Kirby,2024-06-09T18:10:00.0000000Z
STL,COL,0.6164383554888346,0.3835616445111653,9.0,Andre Pallante,Ty Blach,2024-06-09T18:15:00.0000000Z
LAA,HOU,0.40036122839240407,0.5996387716075959,8.5,Patrick Sandoval,Justin Verlander,2024-06-09T20:07:00.0000000Z
NYY,LAD,0.47391341595118586,0.5260865840488141,7.5,Luis Gil,Tyler Glasnow,2024-06-09T23:10:00.0000000Z
