hometeam,awayteam,hometeamodds_dk,awayteamodds_dk,ou
DET,HOU,0.44855888659916276,0.5514411134008372,8.0
PIT,CHC,0.5427435386594943,0.4572564613405057,7.5
TB,NYY,0.44855888659916276,0.5514411134008372,8.0
BAL,ARI,0.5634920623536956,0.4365079376463043,8.0
TOR,MIN,0.5173641257223942,0.48263587427760585,7.5
MIA,PHI,0.355270821500165,0.644729178499835,7.5
NYM,ATL,0.4170073603834652,0.5829926396165348,8.0
BOS,WAS,0.644729178499835,0.35527082150016503,8.5
CWS,CLE,0.49567024634455015,0.5043297536554499,7.5
COL,TEX,0.3775334495818208,0.6224665504181792,10.0
LAA,KC,0.4675324675324676,0.5324675324675324,8.5
SD,LAD,0.39076376684029035,0.6092362331597097,8.0
SEA,OAK,0.5634920623536956,0.4365079376463043,7.5
SF,CIN,0.5829926396165348,0.41700736038346525,7.5
