hometeam,awayteam,hometeamodds_dk,awayteamodds_dk,ou,homepitcher,awaypitcher,date
BAL,TOR,0.6369041809336118,0.36309581906638816,8.5,Corbin Burnes,Chris Bassitt,2024-07-30T22:35:00.0000000Z
PHI,NYY,0.5260865840488141,0.47391341595118586,9.0,Aaron Nola,Gerrit Cole,2024-07-30T22:40:00.0000000Z
TB,MIA,0.5996387716075958,0.4003612283924042,7.5,Jeffrey Springs,Edward Cabrera,2024-07-30T22:50:00.0000000Z
NYM,MIN,0.5566791224747553,0.44332087752524474,8.5,Sean Manaea,David Festa,2024-07-30T23:10:00.0000000Z
BOS,SEA,0.4782608704725898,0.5217391295274102,9.5,James Paxton,Luis Castillo,2024-07-30T23:10:00.0000000Z
CIN,CHC,0.4675324675324676,0.5324675324675324,9.0,,Justin Steele,2024-07-30T23:10:00.0000000Z
STL,TEX,0.4675324675324676,0.5324675324675324,8.0,Lance Lynn,Max Scherzer,2024-07-30T23:45:00.0000000Z
CWS,KC,0.38356164451116537,0.6164383554888346,9.0,Jonathan Cannon,Michael Wacha,2024-07-31T00:10:00.0000000Z
LAA,COL,0.5514411134008372,0.4485588865991628,8.5,Griffin Canning,Cal Quantrill,2024-07-31T01:38:00.0000000Z
SD,LAD,0.43650793764630424,0.5634920623536958,7.5,Matt Waldron,Tyler Glasnow,2024-07-31T01:40:00.0000000Z
ARI,WAS,0.630940342760865,0.36905965723913503,9.5,Ryne Nelson,Patrick Corbin,2024-07-31T01:40:00.0000000Z
SF,OAK,0.6224665504181792,0.3775334495818207,8.0,Robbie Ray,JP Sears,2024-07-31T01:45:00.0000000Z
