date,team,opponent,rundifferential,teamruns,rundifferential6,teamruns6,teamstarter,opponentstarter
2025-03-27,AZ,CHC,-4,6,-3,5,Zac Gallen,Justin Steele
2025-03-28,AZ,CHC,7,8,5,6,Merrill Kelly,Jameson Taillon
2025-03-29,AZ,CHC,-1,3,-2,1,Brandon Pfaadt,Shota Imanaga
2025-03-30,AZ,CHC,4,10,-2,1,Eduardo Rodriguez,Matthew Boyd
2025-04-01,AZ,NYY,2,7,-2,2,Corbin Burnes,Will Warren
2025-04-02,AZ,NYY,1,4,4,4,Zac Gallen,Carlos Rodon
2025-04-03,AZ,NYY,-2,7,-6,3,Merrill Kelly,Carlos Carrasco
2025-04-04,AZ,WSH,2,6,0,4,Brandon Pfaadt,Jake Irvin
2025-04-05,AZ,WSH,-1,3,-3,1,Eduardo Rodriguez,Mitchell Parker
2025-04-06,AZ,WSH,-1,4,-2,3,Corbin Burnes,Trevor Williams
2025-04-07,AZ,BAL,-4,1,-4,1,Zac Gallen,Zach Eflin
2025-04-08,AZ,BAL,1,4,2,4,Merrill Kelly,Charlie Morton
2025-04-09,AZ,BAL,9,9,7,7,Brandon Pfaadt,Dean Kremer
2025-04-11,AZ,MIL,-7,0,-3,0,Eduardo Rodriguez,Jose Quintana
2025-04-12,AZ,MIL,1,5,-3,0,Corbin Burnes,Chad Patrick
2025-04-13,AZ,MIL,3,5,0,2,Zac Gallen,Freddy Peralta
2025-04-15,AZ,MIA,6,10,9,10,Merrill Kelly,Connor Gillispie
2025-04-16,AZ,MIA,4,6,2,3,Brandon Pfaadt,Max Meyer
2025-04-17,AZ,MIA,2,6,3,6,Eduardo Rodriguez,Edward Cabrera
2025-04-18,AZ,CHC,-2,11,-1,1,Corbin Burnes,Colin Rea
2025-04-19,AZ,CHC,-4,2,-5,1,Zac Gallen,Ben Brown
2025-04-20,AZ,CHC,1,3,0,1,Merrill Kelly,Jameson Taillon
2025-04-22,AZ,TB,4,5,2,3,Brandon Pfaadt,Zack Littell
2025-04-23,AZ,TB,-1,6,1,3,Eduardo Rodriguez,Taj Bradley
2025-04-24,AZ,TB,-3,4,1,4,Corbin Burnes,Drew Rasmussen
2025-04-25,AZ,ATL,-6,2,-4,1,Zac Gallen,Chris Sale
2025-04-26,AZ,ATL,-1,7,4,6,Merrill Kelly,Grant Holmes
2025-04-27,AZ,ATL,2,6,3,4,Brandon Pfaadt,Spencer Schwellenbach
2025-04-29,AZ,NYM,-5,3,-7,1,Eduardo Rodriguez,David Peterson
2025-04-30,AZ,NYM,1,4,-1,0,Corbin Burnes,Huascar Brazoban
2025-05-01,AZ,NYM,2,4,1,2,Zac Gallen,Kodai Senga
2025-05-02,AZ,PHI,-1,2,1,2,Merrill Kelly,Jesus Luzardo
2025-05-03,AZ,PHI,-5,2,-7,0,Brandon Pfaadt,Aaron Nola
2025-05-04,AZ,PHI,2,11,2,7,Eduardo Rodriguez,Ranger Suarez
2025-05-05,AZ,NYM,-1,4,-1,1,Ryne Nelson,Griffin Canning
2025-05-06,AZ,NYM,4,5,3,4,Zac Gallen,David Peterson
2025-05-07,AZ,NYM,-6,1,-1,0,Merrill Kelly,Kodai Senga
2025-05-08,AZ,LAD,2,5,5,5,Brandon Pfaadt,Yoshinobu Yamamoto
2025-05-09,AZ,LAD,-3,11,1,9,Eduardo Rodriguez,Roki Sasaki
