date,team,opponent,rundifferential,teamruns,rundifferential6,teamruns6,teamstarter,opponentstarter
2025-03-27,BOS,TEX,3,5,0,2,Garrett Crochet,Nathan Eovaldi
2025-03-28,BOS,TEX,-3,1,-3,1,Tanner Houck,Jack Leiter
2025-03-29,BOS,TEX,-1,3,-2,2,Walker Buehler,Tyler Mahle
2025-03-30,BOS,TEX,-1,2,-1,2,Richard Fitts,Jacob Degrom
2025-03-31,BOS,BAL,-3,5,-1,3,Sean Newcomb,Cade Povich
2025-04-02,BOS,BAL,3,3,3,3,Garrett Crochet,Zach Eflin
2025-04-03,BOS,BAL,4,8,2,5,Tanner Houck,Charlie Morton
2025-04-04,BOS,STL,4,13,3,8,Walker Buehler,Erick Fedde
2025-04-06,BOS,STL,11,18,14,16,Hunter Dobbins,Miles Mikolas
2025-04-07,BOS,TOR,-4,2,-2,1,Richard Fitts,Jose Berrios
2025-04-08,BOS,TOR,-5,1,-4,0,Garrett Crochet,Easton Lucas
2025-04-09,BOS,TOR,-1,1,0,1,Tanner Houck,Kevin Gausman
2025-04-10,BOS,TOR,1,4,1,1,Walker Buehler,Chris Bassitt
2025-04-11,BOS,CWS,-10,1,-7,0,Sean Newcomb,Davis Martin
2025-04-12,BOS,CWS,-1,2,0,2,Richard Fitts,Martin Perez
2025-04-13,BOS,CWS,2,3,2,2,Garrett Crochet,Shane Smith
2025-04-14,BOS,TB,-15,1,-14,1,Tanner Houck,Shane Baz
2025-04-15,BOS,TB,3,7,4,6,Walker Buehler,Ryan Pepiot
2025-04-16,BOS,TB,1,1,1,1,Sean Newcomb,Zack Littell
2025-04-18,BOS,CWS,7,10,4,6,Hunter Dobbins,Martin Perez
2025-04-19,BOS,CWS,1,4,3,3,Garrett Crochet,Shane Smith
2025-04-20,BOS,CWS,-4,4,2,4,Tanner Houck,Sean Burke
2025-04-21,BOS,CWS,2,4,3,4,Walker Buehler,Jonathan Cannon
2025-04-22,BOS,SEA,5,8,1,4,Brayan Bello,Bryce Miller
2025-04-23,BOS,SEA,-3,5,-4,2,Sean Newcomb,Emerson Hancock
2025-04-24,BOS,SEA,-1,3,-2,2,Garrett Crochet,Bryan Woo
2025-04-26,BOS,CLE,2,7,2,7,Tanner Houck,Ben Lively
2025-04-27,BOS,CLE,10,13,6,9,Brayan Bello,Logan Allen
2025-04-29,BOS,TOR,8,10,5,7,Garrett Crochet,Bowden Francis
2025-04-30,BOS,TOR,-1,6,3,6,Lucas Giolito,Yariel Rodriguez
2025-05-01,BOS,TOR,-2,2,2,2,Tanner Houck,Jose Berrios
2025-05-02,BOS,MIN,5,6,0,1,Brayan Bello,Joe Ryan
2025-05-03,BOS,MIN,-1,3,-3,1,Hunter Dobbins,Bailey Ober
2025-05-04,BOS,MIN,-1,4,2,3,Garrett Crochet,Chris Paddack
2025-05-06,BOS,TEX,-5,1,-5,1,Lucas Giolito,Nathan Eovaldi
2025-05-07,BOS,TEX,2,6,0,3,Tanner Houck,Tyler Mahle
