date,team,opponent,rundifferential,teamruns,rundifferential6,teamruns6,teamstarter,opponentstarter
2025-03-27,CWS,LAA,7,8,3,3,Sean Burke,Yusei Kikuchi
2025-03-29,CWS,LAA,-1,0,0,0,Jonathan Cannon,Jose Soriano
2025-03-30,CWS,LAA,-1,2,0,2,Davis Martin,Jack Kochanowicz
2025-03-31,CWS,MIN,9,9,9,9,Martin Perez,Chris Paddack
2025-04-01,CWS,MIN,-5,3,-2,3,Shane Smith,Simeon Woods
2025-04-02,CWS,MIN,-5,1,-6,0,Sean Burke,Pablo Lopez
2025-04-04,CWS,DET,-3,4,-6,1,Jonathan Cannon,Jack Flaherty
2025-04-05,CWS,DET,-5,2,-5,2,Davis Martin,Reese Olson
2025-04-06,CWS,DET,-1,3,2,3,Martin Perez,Jackson Jobe
2025-04-08,CWS,CLE,-1,0,0,0,Shane Smith,Ben Lively
2025-04-09,CWS,CLE,-1,2,-2,1,Sean Burke,Logan Allen
2025-04-10,CWS,CLE,-5,1,-5,1,Jonathan Cannon,Gavin Williams
2025-04-11,CWS,BOS,10,11,7,7,Davis Martin,Sean Newcomb
2025-04-12,CWS,BOS,1,3,0,2,Martin Perez,Richard Fitts
2025-04-13,CWS,BOS,-2,1,-2,0,Shane Smith,Garrett Crochet
2025-04-15,CWS,ATH,-9,3,-6,3,Sean Burke,Jeffrey Springs
2025-04-16,CWS,ATH,-2,1,-2,1,Jonathan Cannon,Osvaldo Bido
2025-04-17,CWS,ATH,-8,0,-4,0,Davis Martin,Jp Sears
2025-04-18,CWS,BOS,-7,3,-4,2,Martin Perez,Hunter Dobbins
2025-04-19,CWS,BOS,-1,3,-3,0,Shane Smith,Garrett Crochet
2025-04-20,CWS,BOS,4,8,-2,2,Sean Burke,Tanner Houck
2025-04-21,CWS,BOS,-2,2,-3,1,Jonathan Cannon,Walker Buehler
2025-04-22,CWS,MIN,-2,2,-1,1,Davis Martin,Bailey Ober
2025-04-23,CWS,MIN,-3,3,-1,3,Bryse Wilson,David Festa
2025-04-24,CWS,MIN,3,3,3,3,Shane Smith,Chris Paddack
2025-04-25,CWS,ATH,-1,5,0,3,Tyler Gilbert,Luis Severino
2025-04-26,CWS,ATH,7,10,6,7,Tyler Gilbert,Jeffrey Springs
2025-04-27,CWS,ATH,-1,2,0,1,Brandon Eisert,Osvaldo Bido
2025-04-29,CWS,MIL,-5,2,-3,2,Tyler Gilbert,Freddy Peralta
2025-04-30,CWS,MIL,-2,4,0,3,Shane Smith,Tobias Myers
2025-05-01,CWS,MIL,8,8,4,4,Sean Burke,Chad Patrick
2025-05-02,CWS,HOU,4,7,2,4,Jonathan Cannon,Framber Valdez
2025-05-03,CWS,HOU,-5,3,-3,3,Davis Martin,Hunter Brown
2025-05-04,CWS,HOU,1,5,1,5,Bryse Wilson,Lance Mccullers
2025-05-05,CWS,KC,-3,0,-2,0,Shane Smith,Cole Ragans
2025-05-06,CWS,KC,-1,3,1,2,Sean Burke,Seth Lugo
2025-05-07,CWS,KC,-1,1,-2,0,Jonathan Cannon,Michael Wacha
2025-05-08,CWS,KC,-10,0,-6,0,Davis Martin,Kris Bubic
2025-05-09,CWS,MIA,4,6,1,2,Bryse Wilson,Max Meyer
2025-05-10,CWS,MIA,-2,1,1,1,Shane Smith,Edward Cabrera
2025-05-11,CWS,MIA,2,4,3,4,Sean Burke,Sandy Alcantara
2025-05-13,CWS,CIN,4,5,1,1,Brandon Eisert,Andrew Abbott
2025-05-14,CWS,CIN,2,4,3,3,Davis Martin,Nick Lodolo
2025-05-15,CWS,CIN,-6,1,-7,0,Bryse Wilson,Nick Martinez
2025-05-16,CWS,CHC,-10,3,-5,3,Shane Smith,Cade Horton
2025-05-17,CWS,CHC,-4,3,-3,3,Sean Burke,Matthew Boyd
2025-05-18,CWS,CHC,-4,2,-3,1,Jonathan Cannon,Colin Rea
2025-05-19,CWS,SEA,-4,1,-1,0,Davis Martin,Luis Castillo
2025-05-20,CWS,SEA,1,1,1,1,Adrian Houser,Casey Legumina
2025-05-21,CWS,SEA,-1,5,0,4,Shane Smith,Logan Evans
2025-05-23,CWS,TEX,3,4,3,4,Sean Burke,Tyler Mahle
2025-05-24,CWS,TEX,5,10,4,8,Bryse Wilson,Jack Leiter
2025-05-25,CWS,TEX,-1,4,1,3,Davis Martin,Patrick Corbin
