date,team,opponent,rundifferential,teamruns,rundifferential6,teamruns6,teamstarter,opponentstarter
2025-03-27,DET,LAD,-1,4,-2,2,Tarik Skubal,Blake Snell
2025-03-28,DET,LAD,-3,5,0,2,Jack Flaherty,Yoshinobu Yamamoto
2025-03-29,DET,LAD,-4,3,-3,2,Reese Olson,Roki Sasaki
2025-03-31,DET,SEA,3,9,4,8,Jackson Jobe,Emerson Hancock
2025-04-01,DET,SEA,3,4,3,3,Casey Mize,Logan Gilbert
2025-04-02,DET,SEA,-1,2,-1,2,Tarik Skubal,Luis Castillo
2025-04-04,DET,CWS,3,7,6,7,Jack Flaherty,Jonathan Cannon
2025-04-05,DET,CWS,5,7,5,7,Reese Olson,Davis Martin
2025-04-06,DET,CWS,1,4,-2,1,Jackson Jobe,Martin Perez
2025-04-07,DET,NYY,4,6,4,5,Casey Mize,Carlos Rodon
2025-04-08,DET,NYY,5,5,5,5,Tarik Skubal,Carlos Carrasco
2025-04-09,DET,NYY,-1,3,0,0,Jack Flaherty,Max Fried
2025-04-11,DET,MIN,1,7,1,5,Reese Olson,David Festa
2025-04-12,DET,MIN,4,4,4,4,Jackson Jobe,Chris Paddack
2025-04-13,DET,MIN,-4,1,-3,1,Casey Mize,Simeon Woods
2025-04-14,DET,MIL,8,9,9,9,Tarik Skubal,Tyler Alexander
2025-04-15,DET,MIL,-5,0,-3,0,Jack Flaherty,Quinn Priester
2025-04-16,DET,MIL,-4,1,-4,1,Keider Montero,Jose Quintana
2025-04-17,DET,KC,5,6,4,4,Reese Olson,Michael Lorenzen
2025-04-18,DET,KC,4,7,4,5,Jackson Jobe,Cole Ragans
2025-04-19,DET,KC,2,3,3,3,Casey Mize,Seth Lugo
2025-04-20,DET,KC,-1,3,0,2,Tarik Skubal,Michael Wacha
2025-04-21,DET,SD,2,6,2,6,Keider Montero,Randy Vasquez
2025-04-22,DET,SD,-2,0,-2,0,Jack Flaherty,Nick Pivetta
2025-04-23,DET,SD,6,6,2,2,Reese Olson,Kyle Hart
2025-04-26,DET,BAL,3,6,1,3,Casey Mize,Keegan Akin
2025-04-27,DET,BAL,7,7,5,5,Tarik Skubal,Dean Kremer
2025-04-28,DET,HOU,-3,5,-1,3,Jack Flaherty,Ronel Blanco
2025-04-29,DET,HOU,-2,4,-1,2,Reese Olson,Ryan Gusto
2025-04-30,DET,HOU,3,7,4,7,Jackson Jobe,Aj Blubaugh
2025-05-01,DET,LAA,6,10,-2,2,Casey Mize,Yusei Kikuchi
2025-05-02,DET,LAA,8,9,-1,0,Tarik Skubal,Jose Soriano
2025-05-03,DET,LAA,-3,2,-5,0,Jack Flaherty,Kyle Hendricks
2025-05-04,DET,LAA,12,13,8,8,Reese Olson,Jack Kochanowicz
2025-05-07,DET,COL,2,8,0,6,Jackson Jobe,Chase Dollander
2025-05-08,DET,COL,9,11,8,9,Keider Montero,Kyle Freeland
2025-05-09,DET,TEX,1,2,1,2,Tarik Skubal,Patrick Corbin
2025-05-10,DET,TEX,-7,3,-5,2,Jack Flaherty,Jacob Degrom
2025-05-11,DET,TEX,-5,1,-5,0,Reese Olson,Nathan Eovaldi
