date,team,opponent,rundifferential,teamruns,rundifferential6,teamruns6,teamstarter,opponentstarter
2025-03-27,LAA,CWS,-7,1,-3,0,Yusei Kikuchi,Sean Burke
2025-03-29,LAA,CWS,1,1,0,0,Jose Soriano,Jonathan Cannon
2025-03-30,LAA,CWS,1,3,0,2,Jack Kochanowicz,Davis Martin
2025-03-31,LAA,STL,1,5,-1,2,Tyler Anderson,Miles Mikolas
2025-04-01,LAA,STL,2,9,1,3,Kyle Hendricks,Matthew Liberatore
2025-04-02,LAA,STL,-7,5,-2,1,Yusei Kikuchi,Sonny Gray
2025-04-04,LAA,CLE,-2,6,-2,4,Jose Soriano,Gavin Williams
2025-04-05,LAA,CLE,6,10,7,10,Jack Kochanowicz,Tanner Bibee
2025-04-06,LAA,CLE,4,6,1,3,Tyler Anderson,Luis L
2025-04-08,LAA,TB,1,4,2,2,Kyle Hendricks,Shane Baz
2025-04-09,LAA,TB,-1,4,-1,3,Yusei Kikuchi,Ryan Pepiot
2025-04-10,LAA,TB,10,11,9,10,Jose Soriano,Zack Littell
2025-04-11,LAA,HOU,-11,3,-9,2,Jack Kochanowicz,Ronel Blanco
2025-04-12,LAA,HOU,3,4,4,4,Tyler Anderson,Ryan Gusto
2025-04-13,LAA,HOU,-4,3,-3,3,Kyle Hendricks,Hayden Wesneski
2025-04-15,LAA,TEX,-4,0,-1,0,Yusei Kikuchi,Tyler Mahle
2025-04-16,LAA,TEX,-2,1,-2,1,Jose Soriano,Patrick Corbin
2025-04-17,LAA,TEX,-2,3,-1,3,Jack Kochanowicz,Kumar Rocker
2025-04-18,LAA,SF,2,2,2,2,Tyler Anderson,Logan Webb
2025-04-19,LAA,SF,-1,2,-1,2,Kyle Hendricks,Landen Roupp
2025-04-20,LAA,SF,1,5,-2,1,Yusei Kikuchi,Justin Verlander
2025-04-22,LAA,PIT,-6,3,-3,3,Jose Soriano,Bailey Falter
2025-04-23,LAA,PIT,-3,0,-2,0,Jack Kochanowicz,Andrew Heaney
2025-04-24,LAA,PIT,1,4,0,3,Tyler Anderson,Carmen Mlodzinski
2025-04-25,LAA,MIN,-7,4,-8,3,Kyle Hendricks,Pablo Lopez
2025-04-26,LAA,MIN,-4,1,-4,1,Yusei Kikuchi,Simeon Woods
2025-04-27,LAA,MIN,-5,0,-4,0,Jose Soriano,Joe Ryan
2025-04-29,LAA,SEA,-2,3,-3,0,Jack Kochanowicz,Bryce Miller
2025-04-30,LAA,SEA,-6,3,0,3,Tyler Anderson,Emerson Hancock
2025-05-01,LAA,DET,-6,4,2,4,Yusei Kikuchi,Casey Mize
2025-05-02,LAA,DET,-8,1,1,1,Jose Soriano,Tarik Skubal
2025-05-03,LAA,DET,3,5,5,5,Kyle Hendricks,Jack Flaherty
2025-05-04,LAA,DET,-12,1,-8,0,Jack Kochanowicz,Reese Olson
2025-05-06,LAA,TOR,5,8,0,2,Tyler Anderson,Jose Urena
2025-05-07,LAA,TOR,1,5,0,1,Yusei Kikuchi,Jose Berrios
2025-05-08,LAA,TOR,-3,5,-3,4,Jose Soriano,Chris Bassitt
2025-05-09,LAA,BAL,-3,1,-3,0,Kyle Hendricks,Tomoyuki Sugano
2025-05-10,LAA,BAL,3,5,4,5,Jack Kochanowicz,Kyle Gibson
2025-05-11,LAA,BAL,-4,3,-5,2,Tyler Anderson,Zach Eflin
2025-05-12,LAA,SD,4,9,-1,3,Yusei Kikuchi,Michael King
2025-05-13,LAA,SD,-2,4,-1,1,Jose Soriano,Dylan Cease
2025-05-14,LAA,SD,-4,1,-2,1,Kyle Hendricks,Randy Vasquez
2025-05-16,LAA,LAD,4,6,3,4,Jack Kochanowicz,Dustin May
2025-05-17,LAA,LAD,2,11,-2,5,Tyler Anderson,Clayton Kershaw
2025-05-18,LAA,LAD,2,6,3,4,Yusei Kikuchi,Tony Gonsolin
2025-05-19,LAA,ATH,1,4,1,4,Jose Soriano,J T
2025-05-20,LAA,ATH,2,7,1,5,Kyle Hendricks,Gunnar Hoglund
2025-05-21,LAA,ATH,5,10,2,6,Jack Kochanowicz,Jp Sears
2025-05-22,LAA,ATH,5,10,-3,2,Tyler Anderson,Luis Severino
2025-05-23,LAA,MIA,3,7,6,6,Yusei Kikuchi,Sandy Alcantara
2025-05-24,LAA,MIA,-4,2,-2,1,Jose Soriano,Cal Quantrill
2025-05-25,LAA,MIA,-3,0,-3,0,Kyle Hendricks,Edward Cabrera
2025-05-26,LAA,NYY,-4,1,-3,1,Jack Kochanowicz,Ryan Yarbrough
2025-05-27,LAA,NYY,-1,2,-2,0,Tyler Anderson,Carlos Rodon
2025-05-28,LAA,NYY,-1,0,-1,0,Yusei Kikuchi,Clarke Schmidt
2025-05-30,LAA,CLE,3,4,1,1,Jose Soriano,Luis L
2025-05-31,LAA,CLE,-2,5,1,5,Kyle Hendricks,Slade Cecconi
2025-06-01,LAA,CLE,-2,2,-4,0,Jack Kochanowicz,Gavin Williams
