date,team,opponent,rundifferential,teamruns,rundifferential6,teamruns6,teamstarter,opponentstarter
2025-03-27,PIT,MIA,-1,4,2,4,Paul Skenes,Sandy Alcantara
2025-03-28,PIT,MIA,1,4,3,4,Mitch Keller,Connor Gillispie
2025-03-29,PIT,MIA,-1,4,0,2,Bailey Falter,Valente Bellozo
2025-03-30,PIT,MIA,-1,2,1,2,Andrew Heaney,Max Meyer
2025-03-31,PIT,TB,-5,1,-5,0,Carmen Mlodzinski,Drew Rasmussen
2025-04-01,PIT,TB,-7,0,-6,0,Thomas Harrington,Shane Baz
2025-04-02,PIT,TB,2,4,1,2,Paul Skenes,Ryan Pepiot
2025-04-04,PIT,NYY,-5,4,-6,1,Mitch Keller,Max Fried
2025-04-05,PIT,NYY,-6,4,-4,4,Bailey Falter,Marcus Stroman
2025-04-06,PIT,NYY,1,5,3,4,Andrew Heaney,Will Warren
2025-04-07,PIT,STL,4,8,2,4,Carmen Mlodzinski,Matthew Liberatore
2025-04-08,PIT,STL,-2,3,-4,1,Paul Skenes,Sonny Gray
2025-04-09,PIT,STL,1,2,0,0,Mitch Keller,Erick Fedde
2025-04-11,PIT,CIN,-2,3,-2,3,Bailey Falter,Brady Singer
2025-04-12,PIT,CIN,-3,2,-3,1,Andrew Heaney,Andrew Abbott
2025-04-13,PIT,CIN,-4,0,-4,0,Carmen Mlodzinski,Hunter Greene
2025-04-14,PIT,WSH,7,10,3,5,Paul Skenes,Brad Lord
2025-04-15,PIT,WSH,-3,0,-3,0,Mitch Keller,Jake Irvin
2025-04-16,PIT,WSH,5,6,1,1,Bailey Falter,Mitchell Parker
2025-04-17,PIT,WSH,1,1,1,1,Andrew Heaney,Trevor Williams
2025-04-18,PIT,CLE,-3,7,-3,2,Carmen Mlodzinski,Luis L
2025-04-19,PIT,CLE,-3,0,-1,0,Paul Skenes,Ben Lively
2025-04-20,PIT,CLE,-1,4,-1,1,Mitch Keller,Logan Allen
2025-04-22,PIT,LAA,6,9,3,6,Bailey Falter,Jose Soriano
2025-04-23,PIT,LAA,3,3,2,2,Andrew Heaney,Jack Kochanowicz
2025-04-24,PIT,LAA,-1,3,0,3,Carmen Mlodzinski,Tyler Anderson
2025-04-25,PIT,LAD,3,3,3,3,Paul Skenes,Yoshinobu Yamamoto
2025-04-26,PIT,LAD,-4,4,0,3,Mitch Keller,Roki Sasaki
2025-04-27,PIT,LAD,-7,2,-7,2,Bailey Falter,Tyler Glasnow
2025-04-29,PIT,CHC,-9,0,-4,0,Andrew Heaney,Shota Imanaga
2025-04-30,PIT,CHC,1,4,-1,2,Carmen Mlodzinski,Matthew Boyd
2025-05-01,PIT,CHC,-5,3,-1,2,Paul Skenes,Colin Rea
2025-05-02,PIT,SD,-5,4,-1,4,Mitch Keller,Dylan Cease
2025-05-03,PIT,SD,-1,1,1,1,Bailey Falter,Randy Vasquez
2025-05-04,PIT,SD,-4,0,-4,0,Andrew Heaney,Stephen Kolek
2025-05-05,PIT,STL,-3,3,-3,3,Carmen Mlodzinski,Miles Mikolas
2025-05-06,PIT,STL,-1,1,-1,1,Paul Skenes,Matthew Liberatore
2025-05-07,PIT,STL,-5,0,-3,0,Mitch Keller,Sonny Gray
2025-05-09,PIT,ATL,1,3,3,3,Bailey Falter,Bryce Elder
2025-05-10,PIT,ATL,-1,2,-1,1,Andrew Heaney,Aj Smith
2025-05-11,PIT,ATL,1,4,3,3,Carmen Mlodzinski,Chris Sale
2025-05-12,PIT,NYM,-1,3,0,1,Paul Skenes,David Peterson
2025-05-13,PIT,NYM,-1,1,0,1,Mitch Keller,Kodai Senga
2025-05-14,PIT,NYM,4,4,4,4,Bailey Falter,Clay Holmes
2025-05-16,PIT,PHI,-4,4,2,3,Andrew Heaney,Ranger Suarez
2025-05-17,PIT,PHI,-3,2,-5,0,Carmen Mlodzinski,Zack Wheeler
2025-05-18,PIT,PHI,-1,0,-1,0,Paul Skenes,Mick Abel
2025-05-19,PIT,CIN,-6,1,-1,1,Mitch Keller,Nick Lodolo
2025-05-20,PIT,CIN,1,1,1,1,Bailey Falter,Nick Martinez
2025-05-21,PIT,CIN,2,3,1,2,Andrew Heaney,Brady Singer
2025-05-22,PIT,MIL,-3,5,-2,3,Mike Burrows,Aaron Civale
2025-05-23,PIT,MIL,1,6,1,2,Paul Skenes,Freddy Peralta
2025-05-24,PIT,MIL,1,2,0,1,Mitch Keller,Quinn Priester
2025-05-25,PIT,MIL,-1,5,0,3,Bailey Falter,Logan Henderson
2025-05-26,PIT,AZ,-5,0,-5,0,Andrew Heaney,Ryne Nelson
2025-05-27,PIT,AZ,3,9,-4,2,Mike Burrows,Corbin Burnes
