date,team,opponent,rundifferential,teamruns,rundifferential6,teamruns6,teamstarter,opponentstarter
2025-03-27,SEA,ATH,2,4,-1,0,Logan Gilbert,Luis Severino
2025-03-28,SEA,ATH,-7,0,-2,0,Luis Castillo,Jeffrey Springs
2025-03-29,SEA,ATH,-2,2,-1,2,Bryce Miller,Osvaldo Bido
2025-03-30,SEA,ATH,1,2,1,2,Bryan Woo,Jp Sears
2025-03-31,SEA,DET,-3,6,-4,4,Emerson Hancock,Jackson Jobe
2025-04-01,SEA,DET,-3,1,-3,0,Logan Gilbert,Casey Mize
2025-04-02,SEA,DET,1,3,1,3,Luis Castillo,Tarik Skubal
2025-04-04,SEA,SF,-1,9,0,8,Luis F,Justin Verlander
2025-04-05,SEA,SF,-3,1,-3,1,Bryce Miller,Robbie Ray
2025-04-06,SEA,SF,-1,4,-1,3,Bryan Woo,Jordan Hicks
2025-04-07,SEA,HOU,1,4,1,2,Logan Gilbert,Hayden Wesneski
2025-04-08,SEA,HOU,-1,1,0,0,Luis Castillo,Framber Valdez
2025-04-09,SEA,HOU,1,7,-4,0,Luis F,Hunter Brown
2025-04-11,SEA,TEX,2,5,0,3,Bryce Miller,Jacob Degrom
2025-04-12,SEA,TEX,7,9,4,5,Bryan Woo,Kumar Rocker
2025-04-13,SEA,TEX,2,3,2,3,Logan Gilbert,Nathan Eovaldi
2025-04-15,SEA,CIN,-4,4,-2,4,Luis Castillo,Nick Lodolo
2025-04-16,SEA,CIN,2,5,4,4,Bryce Miller,Nick Martinez
2025-04-17,SEA,CIN,4,11,2,4,Emerson Hancock,Brady Singer
2025-04-18,SEA,TOR,-2,1,-2,1,Bryan Woo,Bowden Francis
2025-04-19,SEA,TOR,4,8,-1,2,Logan Gilbert,Jose Berrios
2025-04-20,SEA,TOR,5,8,3,6,Luis Castillo,Easton Lucas
2025-04-22,SEA,BOS,-5,3,-1,3,Bryce Miller,Brayan Bello
2025-04-23,SEA,BOS,3,8,4,6,Emerson Hancock,Sean Newcomb
2025-04-24,SEA,BOS,1,4,2,4,Bryan Woo,Garrett Crochet
2025-04-25,SEA,MIA,-4,4,-2,4,Logan Gilbert,Cal Quantrill
2025-04-26,SEA,MIA,14,14,11,11,Luis Castillo,Connor Gillispie
2025-04-27,SEA,MIA,1,7,4,7,Logan Evans,Max Meyer
2025-04-29,SEA,LAA,2,5,3,3,Bryce Miller,Jack Kochanowicz
2025-04-30,SEA,LAA,6,9,0,3,Emerson Hancock,Tyler Anderson
