date,team,opponent,rundifferential,teamruns,rundifferential6,teamruns6,teamstarter,opponentstarter
2025-03-27,SF,CIN,2,6,-1,2,Logan Webb,Hunter Greene
2025-03-29,SF,CIN,-1,2,-1,2,Justin Verlander,Nick Lodolo
2025-03-30,SF,CIN,3,6,1,4,Robbie Ray,Nick Martinez
2025-03-31,SF,HOU,5,7,5,5,Jordan Hicks,Ronel Blanco
2025-04-01,SF,HOU,2,3,2,3,Logan Webb,Hayden Wesneski
2025-04-02,SF,HOU,3,6,2,5,Landen Roupp,Framber Valdez
2025-04-04,SF,SEA,1,10,0,8,Justin Verlander,Luis F
2025-04-05,SF,SEA,3,4,3,4,Robbie Ray,Bryce Miller
2025-04-06,SF,SEA,1,5,1,4,Jordan Hicks,Bryan Woo
2025-04-07,SF,CIN,-2,0,0,0,Logan Webb,Hunter Greene
2025-04-08,SF,CIN,-1,0,-1,0,Landen Roupp,Nick Lodolo
2025-04-09,SF,CIN,2,8,-1,5,Justin Verlander,Nick Martinez
2025-04-11,SF,NYY,8,9,9.0,9,Robbie Ray,Marcus Stroman
2025-04-12,SF,NYY,-4,4,-4,4,Jordan Hicks,Will Warren
2025-04-13,SF,NYY,1,5,1,4,Logan Webb,Carlos Rodon
2025-04-14,SF,PHI,6,10,2,6,Landen Roupp,Taijuan Walker
2025-04-15,SF,PHI,-2,4,-1,3,Justin Verlander,Jesus Luzardo
2025-04-16,SF,PHI,7,11,3,7,Robbie Ray,Aaron Nola
2025-04-17,SF,PHI,-2,4,-2,3,Jordan Hicks,Cristopher Sanchez
2025-04-18,SF,LAA,-2,0,-2,0,Logan Webb,Tyler Anderson
2025-04-19,SF,LAA,1,3,1,3,Landen Roupp,Kyle Hendricks
2025-04-20,SF,LAA,-1,4,2,3,Justin Verlander,Yusei Kikuchi
2025-04-21,SF,MIL,3,5,1,3,Robbie Ray,Quinn Priester
2025-04-22,SF,MIL,-8,3,-10,1,Jordan Hicks,Jose Quintana
2025-04-23,SF,MIL,2,4,4,4,Logan Webb,Freddy Peralta
2025-04-24,SF,MIL,1,6,-1,4,Landen Roupp,Tobias Myers
2025-04-25,SF,TEX,-2,0,-2,0,Justin Verlander,Nathan Eovaldi
2025-04-26,SF,TEX,1,3,0,2,Robbie Ray,Tyler Mahle
2025-04-27,SF,TEX,1,3,0,2,Jordan Hicks,Jack Leiter
2025-04-29,SF,SD,-3,4,-1,4,Logan Webb,Nick Pivetta
2025-04-30,SF,SD,-2,3,-4,1,Landen Roupp,Michael King
2025-05-01,SF,COL,-1,3,2,3,Justin Verlander,Kyle Freeland
2025-05-02,SF,COL,4,4,4,4,Robbie Ray,Antonio Senzatela
2025-05-03,SF,COL,3,6,3,6,Jordan Hicks,Bradley Blalock
2025-05-04,SF,COL,6,9,4,5,Logan Webb,German Marquez
2025-05-05,SF,CHC,-7,2,-7,2,Landen Roupp,Matthew Boyd
