date,team,opponent,rundifferential,teamruns,rundifferential6,teamruns6,teamstarter,opponentstarter
2026-03-27,ATH,TOR,-1,2,-1,1,Luis Severino,Kevin Gausman
2026-03-28,ATH,TOR,-1,7,-1,1,Jeffrey Springs,Dylan Cease
2026-03-29,ATH,TOR,-3,2,-3,2,Luis Morales,Eric Lauer
2026-03-30,ATH,ATL,-4,0,-3,0,Jacob Lopez,Bryce Elder
2026-03-31,ATH,ATL,3,5,3,5,Aaron Civale,Jose Suarez
2026-04-01,ATH,ATL,-4,1,-4,1,Luis Severino,Chris Sale
2026-04-03,ATH,HOU,7,11,10,11,Jeffrey Springs,Cristian Javier
2026-04-04,ATH,HOU,-11,0,-10,0,Luis Morales,Tatsuya Imai
2026-04-05,ATH,HOU,2,12,2,5,Jacob Lopez,Lance Mccullers
2026-04-07,ATH,NYY,-2,3,2,3,Aaron Civale,Cam Schlittler
2026-04-08,ATH,NYY,1,3,0,2,Luis Severino,Will Warren
2026-04-09,ATH,NYY,1,1,0,0,Jeffrey Springs,Ryan Weathers
2026-04-10,ATH,NYM,4,4,1,1,J T,Clay Holmes
2026-04-11,ATH,NYM,5,11,2,7,Jacob Lopez,Kodai Senga
2026-04-12,ATH,NYM,1,1,1,1,Aaron Civale,Freddy Peralta
2026-04-13,ATH,TEX,-7,1,-4,0,Luis Severino,Nathan Eovaldi
2026-04-14,ATH,TEX,1,2,1,2,Jeffrey Springs,Mackenzie Gore
2026-04-15,ATH,TEX,1,6,2,4,J T,Kumar Rocker
2026-04-16,ATH,TEX,-3,6,0,3,Jacob Lopez,Jack Leiter
2026-04-17,ATH,CWS,-7,2,-4,1,Aaron Civale,Davis Martin
2026-04-18,ATH,CWS,1,7,-1,4,Luis Severino,Erick Fedde
2026-04-19,ATH,CWS,-3,4,-6,1,Jeffrey Springs,Noah Schultz
2026-04-20,ATH,SEA,2,6,0,3,J T,Emerson Hancock
2026-04-21,ATH,SEA,3,5,1,3,Jacob Lopez,Luis Castillo
2026-04-22,ATH,SEA,-1,4,0,3,Aaron Civale,Logan Gilbert
2026-04-24,ATH,TEX,7,8,5,6,Luis Severino,Nathan Eovaldi
2026-04-25,ATH,TEX,-1,3,-1,3,Jeffrey Springs,Mackenzie Gore
2026-04-26,ATH,TEX,1,2,1,2,J T,Kumar Rocker
2026-04-28,ATH,KC,-3,1,0,1,Aaron Civale,Kris Bubic
2026-04-29,ATH,KC,3,5,4,5,Luis Severino,Michael Wacha
2026-04-30,ATH,KC,3,6,3,5,Jeffrey Springs,Noah Cameron
2026-05-01,ATH,CLE,-3,5,-1,4,J T,Joey Cantillo
2026-05-02,ATH,CLE,-8,6,-1,5,Jacob Lopez,Slade Cecconi
2026-05-03,ATH,CLE,6,7,6,7,Aaron Civale,Parker Messick
2026-05-05,ATH,PHI,-8,1,-1,0,Luis Severino,Cristopher Sanchez
2026-05-06,ATH,PHI,-3,3,1,3,Jeffrey Springs,Zack Wheeler
2026-05-07,ATH,PHI,11,12,9,10,J T,Andrew Painter
2026-05-08,ATH,BAL,1,4,1,3,Jacob Lopez,Kyle Bradish
2026-05-09,ATH,BAL,4,6,5,5,Aaron Civale,Shane Baz
2026-05-10,ATH,BAL,-1,1,-1,1,Luis Severino,Keegan Akin
2026-05-12,ATH,STL,-2,4,-3,3,Jeffrey Springs,Andre Pallante
2026-05-13,ATH,STL,4,6,3,4,J T,Matthew Liberatore
2026-05-14,ATH,STL,-1,4,-2,1,Jacob Lopez,Michael Mcgreevy
2026-05-15,ATH,SF,3,5,3,5,Aaron Civale,Tyler Mahle
2026-05-16,ATH,SF,-2,4,-4,1,Luis Severino,Trevor Mcdonald
2026-05-17,ATH,SF,-9,1,-1,1,Jeffrey Springs,Adrian Houser
2026-05-18,ATH,LAA,-1,1,0,0,J T,Walbert Urena
2026-05-19,ATH,LAA,8,14,4,8,Jacob Lopez,Reid Detmers
2026-05-20,ATH,LAA,1,6,-2,3,Aaron Civale,Jack Kochanowicz
2026-05-21,ATH,LAA,1,3,-1,1,Luis Severino,Jose Soriano
2026-05-22,ATH,SD,-4,3,0,3,Jeffrey Springs,Walker Buehler
2026-05-23,ATH,SD,-2,0,-2,0,J T,Lucas Giolito
2026-05-24,ATH,SD,3,5,3,4,Luis Medina,Michael King
2026-05-25,ATH,SEA,-7,2,-7,0,Aaron Civale,Luis Castillo
2026-05-26,ATH,SEA,-3,1,-4,0,Gage Jump,Emerson Hancock
2026-05-27,ATH,SEA,-8,1,-6,0,Jeffrey Springs,Logan Gilbert
2026-05-29,ATH,NYY,-6,2,-6,1,Luis Severino,Carlos Rodon
2026-05-30,ATH,NYY,2,6,2,3,J T,Ryan Weathers
2026-05-31,ATH,NYY,-5,8,-10,3,Jacob Lopez,Will Warren
2026-06-02,ATH,CHC,1,2,1,2,Gage Jump,Jameson Taillon
2026-06-03,ATH,CHC,1,5,-2,2,Jeffrey Springs,Colin Rea
2026-06-04,ATH,CHC,-1,6,3,4,J T,Shota Imanaga
2026-06-05,ATH,HOU,-4,1,-4,1,Jack Perkins,Peter Lambert
2026-06-06,ATH,HOU,-11,2,-11,2,Kade Morris,Tatsuya Imai
2026-06-07,ATH,HOU,5,5,5,5,Gage Jump,Mike Burrows
2026-06-08,ATH,MIL,-1,14,4,9,Jeffrey Springs,Kyle Harrison
2026-06-09,ATH,MIL,2,7,2,7,J T,Robert Gasser
2026-06-10,ATH,MIL,1,4,-2,1,Jack Perkins,Brandon Sproat
2026-06-12,ATH,COL,2,6,0,4,Gage Jump,Sean Sullivan
2026-06-13,ATH,COL,2,7,2,7,Joey Estes,Kyle Freeland
2026-06-14,ATH,COL,-14,9,-6,8,Jeffrey Springs,Tomoyuki Sugano
2026-06-15,ATH,PIT,9,11,5,6,J T,Jared Jones
2026-06-16,ATH,PIT,-1,5,2,5,Jack Perkins,Mitch Keller
2026-06-17,ATH,PIT,-8,4,-5,2,Aaron Civale,Braxton Ashcraft
2026-06-18,ATH,LAA,5,5,5,5,Gage Jump,Ryan Johnson
2026-06-19,ATH,LAA,1,12,-6,5,Jeffrey Springs,Jose Soriano
2026-06-20,ATH,LAA,-7,0,-6,0,J T,Walbert Urena
2026-06-21,ATH,LAA,-2,7,1,5,Jack Perkins,Reid Detmers
2026-06-23,ATH,SF,-2,1,-1,1,Aaron Civale,Robbie Ray
2026-06-24,ATH,SF,-1,1,0,0,Gage Jump,Tyler Mahle
2026-06-25,ATH,SF,3,9,-4,2,Jeffrey Springs,Landen Roupp
2026-06-26,ATH,LAA,6,9,4,7,J T,Walbert Urena
2026-06-27,ATH,LAA,-3,2,0,2,Jack Perkins,Reid Detmers
2026-06-28,ATH,LAA,-3,1,-3,1,Aaron Civale,Sam Aldegheri
2026-06-29,ATH,LAD,-5,4,-5,3,Gage Jump,Eric Lauer
2026-06-30,ATH,LAD,-6,3,-5,1,Jeffrey Springs,Justin Wrobleski
2026-07-01,ATH,LAD,6,7,5,6,J T,Jack Dreyer
2026-07-03,ATH,MIA,-7,5,-3,5,Jack Perkins,Tyler Phillips
2026-07-04,ATH,MIA,-5,2,-4,0,Aaron Civale,Sandy Alcantara
2026-07-05,ATH,MIA,-1,8,-8,0,Gage Jump,Eury Perez
2026-07-07,ATH,DET,-4,2,-5,1,J T,Tarik Skubal
2026-07-08,ATH,DET,-5,1,-5,1,Jeffrey Springs,Troy Melton
2026-07-09,ATH,DET,-3,1,-2,1,Jose Suarez,Framber Valdez
2026-07-10,ATH,CWS,-13,1,-4,0,Jacob Lopez,Sean Burke
2026-07-11,ATH,CWS,-1,0,-1,0,Gage Jump,Bryan Hudson
2026-07-12,ATH,CWS,-8,1,-8,1,J T,Noah Schultz
2026-07-17,ATH,WSH,-19,4,-12,2,Gage Jump,Cade Cavalli
2026-07-18,ATH,WSH,14,15,8,8,J T,Zack Littell
2026-07-19,ATH,WSH,-3,2,-4,1,Jacob Lopez,Foster Griffin
2026-07-20,ATH,AZ,3,5,0,2,Jeffrey Springs,Mitch Bratt
2026-07-21,ATH,AZ,-1,5,-2,1,Jack Perkins,Kohl Drake
2026-07-22,ATH,AZ,-10,5,-12,2,Gage Jump,Merrill Kelly
2026-07-24,ATH,MIN,2,2,2,2,Jacob Lopez,Zebby Matthews
2026-07-25,ATH,MIN,-2,0,-2,0,Brady Basso,Kendry Rojas
2026-07-26,ATH,MIN,-3,8,-5,3,Jeffrey Springs,Connor Prielipp
2026-07-27,ATH,BOS,-2,2,-2,2,Jack Perkins,Payton Tolle
2026-07-28,ATH,BOS,1,4,1,1,Gage Jump,Jake Bennett
2026-07-29,ATH,BOS,-2,2,0,2,Jacob Lopez,Patrick Sandoval
2026-07-30,ATH,BOS,-1,4,1,4,Mason Barnett,Sonny Gray
2026-07-31,ATH,DET,-12,1,-1,1,Jeffrey Springs,Tyler Holton
2026-08-01,ATH,DET,-2,6,-4,2,Jack Perkins,Framber Valdez
2026-08-02,ATH,DET,-11,0,-6,0,Gage Jump,Keider Montero
2026-08-04,ATH,CIN,-1,4,0,3,J T,Brady Singer
2026-08-05,ATH,CIN,-1,2,-1,2,Jacob Lopez,Rhett Lowder
2026-08-06,ATH,CIN,-1,5,-2,3,Mason Barnett,Andrew Abbott
2026-08-07,ATH,BOS,-12,1,-10,1,Jack Perkins,Payton Tolle
2026-08-08,ATH,BOS,4,7,3,5,Gage Jump,Jake Bennett
2026-08-09,ATH,BOS,1,4,-1,2,J T,Erik Miller
2026-08-10,ATH,TB,-4,6,2,3,Jacob Lopez,Freddy Peralta
2026-08-11,ATH,TB,-8,4,-5,2,Mason Barnett,Nick Martinez
2026-08-12,ATH,TB,-4,4,-5,2,Jack Perkins,Drew Rasmussen
2026-08-14,ATH,TEX,5,8,1,4,Gage Jump,Kumar Rocker
2026-08-15,ATH,TEX,-2,3,-1,3,J T,Mackenzie Gore
2026-08-16,ATH,TEX,3,5,0,2,Jacob Lopez,Cody Bradford
2026-08-17,ATH,KC,-4,5,-3,4,Mason Barnett,Michael Wacha
2026-08-18,ATH,KC,-1,3,3,3,Brady Basso,Daniel Lynch
2026-08-19,ATH,KC,-2,7,3,5,Jeffrey Springs,Seth Lugo
2026-08-20,ATH,KC,-4,2,-4,2,Gage Jump,Randy Dobnak
2026-08-21,ATH,HOU,-4,0,-3,0,J T,Hayden Wesneski
2026-08-22,ATH,HOU,1,4,0,1,Jacob Lopez,Hunter Brown
2026-08-23,ATH,HOU,1,7,0,6,Brady Basso,Cristian Javier
2026-08-24,ATH,MIN,-3,6,-6,1,Jeffrey Springs,Zebby Matthews
2026-08-25,ATH,MIN,2,4,4,4,Gage Jump,Taj Bradley
