date,team,opponent,rundifferential,teamruns,rundifferential6,teamruns6,teamstarter,opponentstarter
2026-03-27,ATL,KC,6,6,4,4,Chris Sale,Cole Ragans
2026-03-28,ATL,KC,4,6,0,0,Reynaldo Lopez,Michael Wacha
2026-03-29,ATL,KC,-3,1,-3,0,Grant Holmes,Seth Lugo
2026-03-30,ATL,ATH,4,4,3,3,Bryce Elder,Jacob Lopez
2026-03-31,ATL,ATH,-3,2,-3,2,Jose Suarez,Aaron Civale
2026-04-01,ATL,ATH,4,5,4,5,Chris Sale,Luis Severino
2026-04-02,ATL,AZ,15,17,11,12,Reynaldo Lopez,Ryne Nelson
2026-04-03,ATL,AZ,2,2,0,0,Grant Holmes,Eduardo Rodriguez
2026-04-04,ATL,AZ,-1,1,-1,1,Bryce Elder,Michael Soroka
2026-04-05,ATL,AZ,-1,5,-1,3,Martin Perez,Brandon Pfaadt
2026-04-06,ATL,LAA,-4,2,-5,1,Chris Sale,Jose Soriano
2026-04-07,ATL,LAA,5,7,2,4,Reynaldo Lopez,Yusei Kikuchi
2026-04-08,ATL,LAA,6,8,6,8,Grant Holmes,Reid Detmers
2026-04-10,ATL,CLE,6,11,5,7,Bryce Elder,Slade Cecconi
2026-04-11,ATL,CLE,-6,0,-2,0,Martin Perez,Parker Messick
2026-04-12,ATL,CLE,12,13,8,9,Chris Sale,Tanner Bibee
2026-04-13,ATL,MIA,-6,4,-5,4,Grant Holmes,Eury Perez
2026-04-14,ATL,MIA,1,6,-1,3,Reynaldo Lopez,Max Meyer
2026-04-15,ATL,MIA,3,6,3,3,Bryce Elder,Chris Paddack
2026-04-17,ATL,PHI,9,9,7,7,Martin Perez,Taijuan Walker
2026-04-18,ATL,PHI,2,3,2,3,Chris Sale,Cristopher Sanchez
2026-04-19,ATL,PHI,2,4,2,4,Grant Holmes,Andrew Painter
2026-04-20,ATL,WSH,5,9,3,7,Bryce Elder,Jake Irvin
2026-04-21,ATL,WSH,-7,4,-2,3,Reynaldo Lopez,Foster Griffin
2026-04-22,ATL,WSH,2,8,2,8,Didier Fuentes,Zack Littell
2026-04-23,ATL,WSH,5,7,0,2,Jr Ritchie,Cade Cavalli
2026-04-24,ATL,PHI,2,5,2,5,Grant Holmes,Andrew Painter
2026-04-25,ATL,PHI,-3,5,1,4,Bryce Elder,Zack Wheeler
2026-04-26,ATL,PHI,4,6,6,6,Chris Sale,Aaron Nola
2026-04-28,ATL,DET,3,5,2,2,Martin Perez,Casey Mize
2026-04-29,ATL,DET,1,4,-1,2,Jr Ritchie,Tarik Skubal
2026-04-30,ATL,DET,-3,2,1,2,Bryce Elder,Framber Valdez
2026-05-01,ATL,COL,2,8,-5,1,Grant Holmes,Jose Quintana
2026-05-02,ATL,COL,8,9,7,8,Chris Sale,Brennan Bernardino
2026-05-03,ATL,COL,5,11,3,8,Spencer Strider,Kyle Freeland
2026-05-04,ATL,SEA,-1,4,-1,4,Jr Ritchie,Logan Gilbert
2026-05-05,ATL,SEA,1,3,0,2,Bryce Elder,George Kirby
2026-05-06,ATL,SEA,-2,1,-2,0,Martin Perez,Bryan Woo
2026-05-08,ATL,LAD,-2,1,-2,1,Chris Sale,Emmet Sheehan
2026-05-09,ATL,LAD,5,7,6,6,Spencer Strider,Blake Snell
2026-05-10,ATL,LAD,5,7,4,4,Bryce Elder,Justin Wrobleski
2026-05-12,ATL,CHC,3,5,3,5,Grant Holmes,Colin Rea
2026-05-13,ATL,CHC,3,4,0,1,Jr Ritchie,Shota Imanaga
2026-05-14,ATL,CHC,-2,0,-1,0,Chris Sale,Ben Brown
2026-05-15,ATL,BOS,1,3,1,2,Spencer Strider,Connelly Early
2026-05-16,ATL,BOS,-1,2,1,2,Bryce Elder,Payton Tolle
2026-05-17,ATL,BOS,7,8,7,7,Grant Holmes,Brayan Bello
2026-05-18,ATL,MIA,-12,0,-12,0,Jr Ritchie,Max Meyer
2026-05-19,ATL,MIA,4,8,0,4,Martin Perez,Braxton Garrett
2026-05-20,ATL,MIA,8,9,7,8,Chris Sale,Janson Junk
2026-05-21,ATL,MIA,6,9,4,6,Spencer Strider,Sandy Alcantara
2026-05-22,ATL,WSH,1,5,-1,0,Bryce Elder,Richard Lovelady
2026-05-23,ATL,WSH,-2,0,-2,0,Grant Holmes,Jake Irvin
2026-05-24,ATL,WSH,-1,1,-1,0,Martin Perez,Foster Griffin
2026-05-26,ATL,BOS,1,7,2,5,Spencer Strider,Ranger Suarez
2026-05-27,ATL,BOS,-8,0,-6,0,Bryce Elder,Connelly Early
2026-05-28,ATL,BOS,8,10,5,7,Chris Sale,Payton Tolle
2026-05-29,ATL,CIN,5,8,5,8,Grant Holmes,Chris Paddack
2026-05-30,ATL,CIN,3,5,1,3,Martin Perez,Brady Singer
2026-05-31,ATL,CIN,-2,4,-2,3,Spencer Strider,Nick Lodolo
2026-06-02,ATL,TOR,1,4,1,4,Bryce Elder,Kevin Gausman
2026-06-03,ATL,TOR,4,7,2,4,Grant Holmes,Patrick Corbin
2026-06-04,ATL,TOR,-5,2,-2,1,Chris Sale,Mason Fluharty
2026-06-05,ATL,PIT,3,6,3,6,Martin Perez,Mitch Keller
2026-06-06,ATL,PIT,3,6,3,6,Spencer Strider,Braxton Ashcraft
2026-06-07,ATL,PIT,1,3,-2,0,Bryce Elder,Mason Montgomery
2026-06-09,ATL,CWS,-1,5,1,4,Grant Holmes,Brandon Eisert
2026-06-10,ATL,CWS,-1,1,-2,0,Chris Sale,Davis Martin
