date,team,opponent,rundifferential,teamruns,rundifferential6,teamruns6,teamstarter,opponentstarter
2026-03-26,CHC,WSH,-6,4,-5,3,Matthew Boyd,Cade Cavalli
2026-03-28,CHC,WSH,8,10,8,10,Cade Horton,Miles Mikolas
2026-03-29,CHC,WSH,-3,3,-2,2,Shota Imanaga,Jake Irvin
2026-03-30,CHC,LAA,5,7,6,6,Edward Cabrera,Ryan Johnson
2026-03-31,CHC,LAA,-2,0,-2,0,Jameson Taillon,Jose Soriano
2026-04-01,CHC,LAA,4,6,3,5,Matthew Boyd,Yusei Kikuchi
2026-04-03,CHC,CLE,-3,1,0,1,Cade Horton,Joey Cantillo
2026-04-05,CHC,CLE,-1,5,0,3,Shota Imanaga,Slade Cecconi
2026-04-06,CHC,TB,-2,4,-1,3,Jameson Taillon,Shane Mcclanahan
2026-04-07,CHC,TB,7,9,5,5,Javier Assad,Mason Englert
2026-04-08,CHC,TB,4,6,5,6,Colin Rea,Joe Boyle
2026-04-10,CHC,PIT,-2,0,0,0,Shota Imanaga,Carmen Mlodzinski
2026-04-11,CHC,PIT,-1,3,-2,1,Edward Cabrera,Braxton Ashcraft
2026-04-12,CHC,PIT,1,7,-3,3,Jameson Taillon,Bubba Chandler
2026-04-13,CHC,PHI,-6,7,-10,2,Javier Assad,Cristopher Sanchez
2026-04-14,CHC,PHI,6,10,4,7,Riley Martin,Aaron Nola
2026-04-15,CHC,PHI,9,11,8,9,Shota Imanaga,Jesus Luzardo
2026-04-17,CHC,NYM,8,12,4,7,Edward Cabrera,Kodai Senga
2026-04-18,CHC,NYM,2,4,3,4,Jameson Taillon,Freddy Peralta
2026-04-19,CHC,NYM,1,2,-1,0,Javier Assad,Tobias Myers
2026-04-20,CHC,PHI,4,5,4,5,Colin Rea,Aaron Nola
2026-04-21,CHC,PHI,3,7,2,3,Shota Imanaga,Jesus Luzardo
2026-04-22,CHC,PHI,5,7,4,6,Matthew Boyd,Kyle Backhus
2026-04-23,CHC,PHI,1,8,4,6,Edward Cabrera,Cristopher Sanchez
2026-04-24,CHC,LAD,2,6,-4,0,Jameson Taillon,Emmet Sheehan
2026-04-25,CHC,LAD,-8,4,-8,4,Colin Rea,Roki Sasaki
2026-04-26,CHC,LAD,-6,0,-5,0,Shota Imanaga,Justin Wrobleski
2026-04-27,CHC,SD,-2,7,-1,5,Matthew Boyd,Randy Vasquez
2026-04-28,CHC,SD,5,8,1,4,Edward Cabrera,Walker Buehler
2026-04-29,CHC,SD,1,5,1,4,Jameson Taillon,Matt Waldron
2026-05-01,CHC,AZ,1,6,1,6,Colin Rea,Zac Gallen
2026-05-02,CHC,AZ,2,2,1,1,Shota Imanaga,Ryne Nelson
2026-05-03,CHC,AZ,4,8,4,6,Matthew Boyd,Merrill Kelly
2026-05-04,CHC,CIN,1,5,0,3,Edward Cabrera,Chase Petty
2026-05-05,CHC,CIN,1,3,-2,0,Jameson Taillon,Andrew Abbott
2026-05-06,CHC,CIN,1,7,2,4,Colin Rea,Brady Singer
2026-05-07,CHC,CIN,5,8,7,8,Shota Imanaga,Rhett Lowder
2026-05-08,CHC,TEX,6,7,3,4,Ben Brown,Kumar Rocker
2026-05-09,CHC,TEX,-6,0,-6,0,Edward Cabrera,Jack Leiter
2026-05-10,CHC,TEX,-3,0,-1,0,Jameson Taillon,Jacob Degrom
2026-05-12,CHC,ATL,-3,2,-3,2,Colin Rea,Grant Holmes
2026-05-13,CHC,ATL,-3,1,0,1,Shota Imanaga,Jr Ritchie
2026-05-14,CHC,ATL,2,2,1,1,Ben Brown,Chris Sale
2026-05-15,CHC,CWS,5,10,0,4,Edward Cabrera,Sean Burke
2026-05-16,CHC,CWS,-5,3,-7,1,Jameson Taillon,Davis Martin
2026-05-17,CHC,CWS,-1,8,0,4,Colin Rea,Erick Fedde
2026-05-18,CHC,MIL,-6,3,-6,3,Shota Imanaga,Brandon Sproat
2026-05-19,CHC,MIL,-3,2,-3,0,Ben Brown,Jacob Misiorowski
2026-05-20,CHC,MIL,-5,0,-4,0,Edward Cabrera,Kyle Harrison
2026-05-22,CHC,HOU,-2,2,-2,2,Jameson Taillon,Spencer Arrighetti
2026-05-23,CHC,HOU,-3,0,-3,0,Colin Rea,Kai Wei
2026-05-24,CHC,HOU,-3,5,-4,3,Shota Imanaga,Peter Lambert
2026-05-25,CHC,PIT,-1,1,0,1,Ben Brown,Carmen Mlodzinski
2026-05-26,CHC,PIT,-11,1,-8,1,Jordan Wicks,Braxton Ashcraft
2026-05-27,CHC,PIT,6,10,0,4,Jameson Taillon,Bubba Chandler
