date,team,opponent,rundifferential,teamruns,rundifferential6,teamruns6,teamstarter,opponentstarter
2026-03-26,CLE,SEA,2,6,0,3,Tanner Bibee,Logan Gilbert
2026-03-27,CLE,SEA,-4,1,-4,1,Gavin Williams,George Kirby
2026-03-28,CLE,SEA,1,6,0,2,Joey Cantillo,Bryan Woo
2026-03-29,CLE,SEA,-8,0,-7,0,Slade Cecconi,Emerson Hancock
2026-03-30,CLE,LAD,2,4,1,1,Parker Messick,Roki Sasaki
2026-03-31,CLE,LAD,-3,1,-2,0,Tanner Bibee,Shohei Ohtani
2026-04-01,CLE,LAD,3,4,2,2,Gavin Williams,Yoshinobu Yamamoto
2026-04-03,CLE,CHC,3,4,0,1,Joey Cantillo,Cade Horton
2026-04-05,CLE,CHC,1,6,0,3,Slade Cecconi,Shota Imanaga
2026-04-06,CLE,KC,-2,2,-1,1,Tanner Bibee,Michael Wacha
2026-04-07,CLE,KC,1,2,0,1,Gavin Williams,Noah Cameron
2026-04-08,CLE,KC,8,10,3,5,Joey Cantillo,Cole Ragans
2026-04-10,CLE,ATL,-6,5,-5,2,Slade Cecconi,Bryce Elder
2026-04-11,CLE,ATL,6,6,2,2,Parker Messick,Martin Perez
2026-04-12,CLE,ATL,-12,1,-8,1,Tanner Bibee,Chris Sale
