date,team,opponent,rundifferential,teamruns,rundifferential6,teamruns6,teamstarter,opponentstarter
2026-03-27,KC,ATL,-6,0,-4,0,Cole Ragans,Chris Sale
2026-03-28,KC,ATL,-4,2,0,0,Michael Wacha,Reynaldo Lopez
2026-03-29,KC,ATL,3,4,3,3,Seth Lugo,Grant Holmes
2026-03-30,KC,MIN,2,3,1,2,Kris Bubic,Simeon Woods
2026-04-01,KC,MIN,4,13,11,12,Noah Cameron,Joe Ryan
2026-04-02,KC,MIN,-4,1,-1,0,Cole Ragans,Taj Bradley
2026-04-04,KC,MIL,3,8,3,8,Luinder Avila,Chad Patrick
2026-04-05,KC,MIL,-3,5,-2,2,Kris Bubic,Kyle Harrison
2026-04-06,KC,CLE,2,4,1,2,Michael Wacha,Tanner Bibee
2026-04-07,KC,CLE,-1,1,0,1,Noah Cameron,Gavin Williams
2026-04-08,KC,CLE,-8,2,-3,2,Cole Ragans,Joey Cantillo
2026-04-09,KC,CWS,-2,0,-1,0,Seth Lugo,Anthony Kay
2026-04-10,KC,CWS,2,2,1,1,Kris Bubic,Davis Martin
2026-04-11,KC,CWS,2,2,1,1,Michael Wacha,Erick Fedde
2026-04-12,KC,CWS,-1,5,0,5,Noah Cameron,Grant Taylor
2026-04-14,KC,DET,-1,1,1,1,Cole Ragans,Framber Valdez
2026-04-15,KC,DET,-1,1,0,1,Seth Lugo,Jack Flaherty
2026-04-16,KC,DET,-1,9,-4,2,Kris Bubic,Keider Montero
2026-04-17,KC,NYY,-2,2,-1,1,Michael Wacha,Cam Schlittler
2026-04-18,KC,NYY,-9,4,-10,0,Noah Cameron,Will Warren
2026-04-19,KC,NYY,-7,0,-7,0,Cole Ragans,Ryan Weathers
2026-04-20,KC,BAL,-2,5,1,1,Seth Lugo,Kyle Bradish
2026-04-21,KC,BAL,1,6,0,3,Kris Bubic,Shane Baz
2026-04-22,KC,BAL,-2,6,-2,6,Michael Wacha,Chris Bassitt
2026-04-24,KC,LAA,3,6,5,5,Noah Cameron,Yusei Kikuchi
2026-04-25,KC,LAA,11,12,4,5,Cole Ragans,Walbert Urena
2026-04-26,KC,LAA,2,11,-3,3,Seth Lugo,Reid Detmers
2026-04-28,KC,ATH,3,4,0,1,Kris Bubic,Aaron Civale
2026-04-29,KC,ATH,-3,2,-4,1,Michael Wacha,Luis Severino
2026-04-30,KC,ATH,-3,3,-3,2,Noah Cameron,Jeffrey Springs
