date,team,opponent,rundifferential,teamruns,rundifferential6,teamruns6,teamstarter,opponentstarter
2026-03-26,MIN,BAL,-1,1,0,0,Joe Ryan,Trevor Rogers
2026-03-28,MIN,BAL,3,4,2,3,Taj Bradley,Kyle Bradish
2026-03-29,MIN,BAL,-2,6,-1,4,Bailey Ober,Shane Baz
2026-03-30,MIN,KC,-2,1,-1,1,Simeon Woods,Kris Bubic
2026-04-01,MIN,KC,-4,9,-11,1,Joe Ryan,Noah Cameron
2026-04-02,MIN,KC,4,5,1,1,Taj Bradley,Cole Ragans
2026-04-03,MIN,TB,6,10,0,3,Bailey Ober,Joe Boyle
2026-04-04,MIN,TB,-6,1,-5,1,Mick Abel,Steven Matz
2026-04-05,MIN,TB,-3,1,0,1,Simeon Woods,Nick Martinez
2026-04-06,MIN,DET,4,7,2,5,Joe Ryan,Casey Mize
2026-04-07,MIN,DET,2,4,4,4,Taj Bradley,Tarik Skubal
2026-04-08,MIN,DET,2,8,6,8,Bailey Ober,Framber Valdez
2026-04-09,MIN,DET,2,3,1,1,Mick Abel,Jack Flaherty
2026-04-10,MIN,TOR,-6,4,-4,4,Simeon Woods,Patrick Corbin
2026-04-11,MIN,TOR,3,7,5,7,Joe Ryan,Eric Lauer
2026-04-12,MIN,TOR,6,8,7,8,Taj Bradley,Max Scherzer
2026-04-13,MIN,BOS,7,13,9,13,Bailey Ober,Garrett Crochet
2026-04-14,MIN,BOS,6,6,6,6,Mick Abel,Sonny Gray
2026-04-15,MIN,BOS,-4,5,-8,1,Simeon Woods,Connelly Early
2026-04-17,MIN,CIN,-1,1,-1,1,Joe Ryan,Brandon Williamson
2026-04-18,MIN,CIN,-1,4,2,4,Taj Bradley,Andrew Abbott
2026-04-19,MIN,CIN,-3,4,2,3,Bailey Ober,Brady Singer
2026-04-21,MIN,NYM,2,5,-1,2,Simeon Woods,Nolan Mclean
2026-04-22,MIN,NYM,-1,2,0,2,Connor Prielipp,Clay Holmes
2026-04-23,MIN,NYM,-2,8,-4,3,Joe Ryan,Christian Scott
2026-04-24,MIN,TB,-4,2,-3,1,Taj Bradley,Drew Rasmussen
2026-04-25,MIN,TB,-5,1,-2,0,Bailey Ober,Shane Mcclanahan
2026-04-26,MIN,TB,-2,2,-4,0,Simeon Woods,Griffin Jax
2026-04-27,MIN,SEA,7,11,6,8,Connor Prielipp,Luis Castillo
2026-04-28,MIN,SEA,-6,1,0,1,Joe Ryan,Logan Gilbert
2026-04-29,MIN,SEA,-2,3,1,2,Taj Bradley,George Kirby
2026-04-30,MIN,TOR,6,7,3,4,Bailey Ober,Kevin Gausman
2026-05-01,MIN,TOR,-4,3,-4,2,Simeon Woods,Patrick Corbin
2026-05-02,MIN,TOR,-7,4,1,4,Connor Prielipp,Dylan Cease
2026-05-03,MIN,TOR,1,4,3,4,Andrew Morris,Trey Yesavage
2026-05-05,MIN,WSH,8,11,4,6,Taj Bradley,Cade Cavalli
2026-05-06,MIN,WSH,-13,2,-4,2,Bailey Ober,Miles Mikolas
2026-05-07,MIN,WSH,-2,5,-1,4,Simeon Woods,Jake Irvin
2026-05-08,MIN,CLE,-2,4,-3,1,Connor Prielipp,Parker Messick
2026-05-09,MIN,CLE,1,2,0,1,Joe Ryan,Tanner Bibee
2026-05-10,MIN,CLE,1,5,2,5,Andrew Morris,Gavin Williams
2026-05-12,MIN,MIA,3,3,3,3,Bailey Ober,Eury Perez
2026-05-13,MIN,MIA,-4,5,-5,4,Simeon Woods,Max Meyer
2026-05-14,MIN,MIA,8,9,6,6,Zebby Matthews,Braxton Garrett
2026-05-15,MIN,MIL,-1,2,0,1,Joe Ryan,Coleman Crow
2026-05-16,MIN,MIL,-1,1,-1,1,Connor Prielipp,Logan Henderson
2026-05-17,MIN,MIL,1,5,1,4,Bailey Ober,Robert Gasser
2026-05-18,MIN,HOU,3,6,6,6,Kendry Rojas,Tatsuya Imai
2026-05-19,MIN,HOU,-1,1,-2,0,Zebby Matthews,Jason Alexander
2026-05-20,MIN,HOU,3,4,3,4,Joe Ryan,Mike Burrows
2026-05-22,MIN,BOS,2,8,-3,3,Connor Prielipp,Payton Tolle
2026-05-23,MIN,BOS,2,4,3,4,Taj Bradley,Jovani Moran
2026-05-24,MIN,BOS,1,6,2,6,Bailey Ober,Sonny Gray
2026-05-25,MIN,CWS,-2,1,-2,1,Zebby Matthews,Anthony Kay
2026-05-26,MIN,CWS,2,5,2,2,Joe Ryan,Sean Burke
2026-05-27,MIN,CWS,-13,2,-8,1,Connor Prielipp,David Sandlin
2026-05-28,MIN,CWS,-4,2,-5,1,Simeon Woods,Davis Martin
2026-05-29,MIN,PIT,-1,5,1,5,Taj Bradley,Jared Jones
2026-05-30,MIN,PIT,-1,9,-1,7,Bailey Ober,Mitch Keller
2026-05-31,MIN,PIT,-6,3,-7,2,Zebby Matthews,Braxton Ashcraft
2026-06-01,MIN,CWS,3,9,5,9,Joe Ryan,David Sandlin
2026-06-02,MIN,CWS,2,6,3,6,Connor Prielipp,Davis Martin
2026-06-03,MIN,CWS,-8,0,-5,0,Taj Bradley,Erick Fedde
2026-06-04,MIN,KC,-2,6,0,6,Andrew Morris,Seth Lugo
2026-06-05,MIN,KC,2,5,3,5,Zebby Matthews,Michael Wacha
2026-06-06,MIN,KC,-1,2,0,1,Joe Ryan,Luinder Avila
2026-06-07,MIN,KC,-1,5,-4,1,Connor Prielipp,Noah Cameron
2026-06-09,MIN,DET,-6,4,-4,4,Taj Bradley,Troy Melton
2026-06-10,MIN,DET,2,6,1,4,Mike Paredes,Framber Valdez
2026-06-11,MIN,DET,-11,0,-7,0,Zebby Matthews,Keider Montero
2026-06-12,MIN,STL,1,9,1,4,Joe Ryan,Kyle Leahy
2026-06-13,MIN,STL,-3,6,0,4,Connor Prielipp,Matthew Liberatore
2026-06-14,MIN,STL,1,5,-1,2,Taj Bradley,Michael Mcgreevy
2026-06-15,MIN,TEX,2,4,2,4,Mike Paredes,Mackenzie Gore
2026-06-16,MIN,TEX,10,12,8,10,Zebby Matthews,Kumar Rocker
2026-06-18,MIN,TEX,6,9,5,7,Joe Ryan,Jack Leiter
2026-06-19,MIN,AZ,-4,5,-3,3,Connor Prielipp,Michael Soroka
2026-06-20,MIN,AZ,8,16,14,16,Taj Bradley,Zac Gallen
2026-06-21,MIN,AZ,2,4,-2,0,Mike Paredes,Jose Cabrera
2026-06-22,MIN,LAD,-1,1,-1,1,Zebby Matthews,Will Klein
2026-06-23,MIN,LAD,-9,3,-4,2,Kendry Rojas,Justin Wrobleski
2026-06-24,MIN,LAD,-1,3,-1,3,Joe Ryan,Shohei Ohtani
2026-06-26,MIN,COL,1,9,7,7,Taj Bradley,Tomoyuki Sugano
2026-06-27,MIN,COL,-3,5,-1,2,Mike Paredes,Michael Lorenzen
2026-06-28,MIN,COL,1,3,0,2,Connor Prielipp,Ryan Feltner
2026-06-29,MIN,HOU,1,5,3,4,Zebby Matthews,Peter Lambert
2026-06-30,MIN,HOU,-2,4,-2,4,Joe Ryan,Mike Burrows
2026-07-01,MIN,HOU,5,8,4,7,Taj Bradley,Tatsuya Imai
2026-07-03,MIN,NYY,-3,2,-1,2,Mike Paredes,Gerrit Cole
2026-07-04,MIN,NYY,7,11,2,6,Zebby Matthews,Brendan Beck
2026-07-05,MIN,NYY,5,6,6,6,Joe Ryan,Ryan Weathers
2026-07-07,MIN,CLE,2,3,1,2,Taj Bradley,Joey Cantillo
2026-07-08,MIN,CLE,1,6,0,3,Connor Prielipp,Slade Cecconi
2026-07-09,MIN,CLE,-3,2,-1,1,Bailey Ober,Gavin Williams
2026-07-10,MIN,LAA,-1,3,-1,3,Zebby Matthews,Grayson Rodriguez
2026-07-11,MIN,LAA,2,5,1,3,Joe Ryan,Ryan Johnson
2026-07-12,MIN,LAA,2,4,2,3,Taj Bradley,Jose Soriano
2026-07-17,MIN,CHC,3,5,2,4,Bailey Ober,Colin Rea
2026-07-18,MIN,CHC,-4,2,-4,1,Taj Bradley,Matthew Boyd
2026-07-19,MIN,CHC,-9,1,-10,0,Zebby Matthews,Shota Imanaga
2026-07-20,MIN,CLE,-9,4,-8,2,Joe Ryan,Tanner Bibee
2026-07-21,MIN,CLE,-3,2,-2,2,Kendry Rojas,Parker Messick
2026-07-22,MIN,CLE,4,10,3,7,Bailey Ober,Slade Cecconi
2026-07-23,MIN,CLE,2,3,-1,0,Taj Bradley,Gavin Williams
2026-07-24,MIN,ATH,-2,0,-2,0,Zebby Matthews,Jacob Lopez
2026-07-25,MIN,ATH,2,2,2,2,Kendry Rojas,Brady Basso
2026-07-26,MIN,ATH,3,11,5,8,Connor Prielipp,Jeffrey Springs
2026-07-28,MIN,KC,1,3,-1,1,Taj Bradley,Seth Lugo
2026-07-29,MIN,KC,-4,0,-4,0,Joe Ryan,Randy Dobnak
2026-07-30,MIN,KC,1,4,-3,0,Bailey Ober,Noah Cameron
2026-07-31,MIN,SEA,2,5,-1,2,Zebby Matthews,Bryce Miller
2026-08-01,MIN,SEA,-1,3,-1,2,Connor Prielipp,Logan Gilbert
2026-08-02,MIN,SEA,-1,6,-3,0,Taj Bradley,George Kirby
2026-08-04,MIN,KC,-6,2,-4,1,Joe Ryan,Randy Dobnak
2026-08-05,MIN,KC,-1,1,0,1,Dean Kremer,Noah Cameron
2026-08-06,MIN,KC,1,4,-2,1,Bailey Ober,Michael Wacha
2026-08-07,MIN,MIL,2,8,2,8,Zebby Matthews,Shane Drohan
2026-08-08,MIN,MIL,-1,3,0,3,Taj Bradley,Robert Gasser
2026-08-09,MIN,MIL,-1,3,0,3,Connor Prielipp,Jacob Misiorowski
2026-08-10,MIN,BAL,4,9,1,2,Dean Kremer,Trevor Rogers
2026-08-11,MIN,BAL,-3,2,-3,2,Bailey Ober,Brandon Young
2026-08-12,MIN,BAL,2,7,3,7,Zebby Matthews,Shane Baz
2026-08-13,MIN,PHI,-6,1,-4,1,Taj Bradley,Aaron Nola
2026-08-15,MIN,PHI,-8,1,-7,1,Connor Prielipp,Jesus Luzardo
2026-08-16,MIN,PHI,-2,5,1,5,Dean Kremer,Andrew Painter
2026-08-17,MIN,ATL,2,4,2,4,Bailey Ober,Martin Perez
2026-08-18,MIN,ATL,3,4,1,2,Zebby Matthews,Tyler Mahle
2026-08-19,MIN,ATL,2,6,0,4,Taj Bradley,Aj Smith
2026-08-21,MIN,SD,-4,2,-4,2,Connor Prielipp,Randy Vasquez
2026-08-22,MIN,SD,-2,5,3,5,Dean Kremer,Casey Mize
2026-08-23,MIN,SD,-7,1,-4,1,Bailey Ober,Walker Buehler
2026-08-24,MIN,ATH,3,9,6,7,Zebby Matthews,Jeffrey Springs
2026-08-25,MIN,ATH,-2,2,-4,0,Taj Bradley,Gage Jump
2026-08-26,MIN,ATH,-3,4,-2,4,Connor Prielipp,J T
2026-08-28,MIN,CWS,-3,4,-2,4,Dean Kremer,Luis Castillo
