date,team,opponent,rundifferential,teamruns,rundifferential6,teamruns6,teamstarter,opponentstarter
2026-03-26,PHI,TEX,2,5,5,5,Cristopher Sanchez,Nathan Eovaldi
2026-03-28,PHI,TEX,-1,4,-3,0,Aaron Nola,Jacob Latz
2026-03-29,PHI,TEX,-5,3,-4,2,Jesus Luzardo,Mackenzie Gore
2026-03-30,PHI,WSH,-11,2,-7,2,Taijuan Walker,Foster Griffin
2026-03-31,PHI,WSH,1,3,2,3,Andrew Painter,Pj Poulin
2026-04-01,PHI,WSH,1,6,-1,1,Cristopher Sanchez,Cade Cavalli
2026-04-03,PHI,COL,9,10,9,10,Aaron Nola,Michael Lorenzen
2026-04-04,PHI,COL,1,2,1,2,Jesus Luzardo,Brennan Bernardino
2026-04-05,PHI,COL,-3,1,-3,1,Taijuan Walker,Tomoyuki Sugano
2026-04-06,PHI,SF,2,6,-2,2,Andrew Painter,Adrian Houser
2026-04-07,PHI,SF,-6,0,-4,0,Cristopher Sanchez,Robbie Ray
2026-04-08,PHI,SF,-5,0,-3,0,Aaron Nola,Tyler Mahle
2026-04-10,PHI,AZ,-1,4,-1,4,Jesus Luzardo,Michael Soroka
2026-04-11,PHI,AZ,1,4,2,4,Taijuan Walker,Brandon Pfaadt
2026-04-12,PHI,AZ,-1,3,1,3,Zach Pop,Zac Gallen
2026-04-13,PHI,CHC,6,13,10,12,Cristopher Sanchez,Javier Assad
2026-04-14,PHI,CHC,-6,4,-4,3,Aaron Nola,Riley Martin
2026-04-15,PHI,CHC,-9,2,-8,1,Jesus Luzardo,Shota Imanaga
2026-04-17,PHI,ATL,-9,0,-7,0,Taijuan Walker,Martin Perez
2026-04-18,PHI,ATL,-2,1,-2,1,Cristopher Sanchez,Chris Sale
2026-04-19,PHI,ATL,-2,2,-2,2,Andrew Painter,Grant Holmes
2026-04-20,PHI,CHC,-4,1,-4,1,Aaron Nola,Colin Rea
2026-04-21,PHI,CHC,-3,4,-2,1,Jesus Luzardo,Shota Imanaga
2026-04-22,PHI,CHC,-5,2,-4,2,Kyle Backhus,Matthew Boyd
2026-04-23,PHI,CHC,-1,7,-4,2,Cristopher Sanchez,Edward Cabrera
2026-04-24,PHI,ATL,-2,3,-2,3,Andrew Painter,Grant Holmes
2026-04-25,PHI,ATL,3,8,-1,3,Zack Wheeler,Bryce Elder
2026-04-26,PHI,ATL,-4,2,-6,0,Aaron Nola,Chris Sale
2026-04-28,PHI,SF,7,7,5,5,Jesus Luzardo,Tyler Mahle
2026-04-30,PHI,SF,1,6,0,4,Cristopher Sanchez,Logan Webb
2026-05-01,PHI,MIA,1,6,1,2,Zack Wheeler,Eury Perez
2026-05-02,PHI,MIA,-4,0,-4,0,Andrew Painter,Max Meyer
2026-05-03,PHI,MIA,5,7,7,7,Jesus Luzardo,Chris Paddack
2026-05-04,PHI,MIA,1,1,1,1,Aaron Nola,Janson Junk
2026-05-05,PHI,ATH,8,9,1,1,Cristopher Sanchez,Luis Severino
2026-05-06,PHI,ATH,3,6,-1,2,Zack Wheeler,Jeffrey Springs
2026-05-07,PHI,ATH,-11,1,-9,1,Andrew Painter,J T
2026-05-08,PHI,COL,-2,7,-4,2,Jesus Luzardo,Chase Dollander
2026-05-09,PHI,COL,6,9,4,7,Aaron Nola,Kyle Freeland
2026-05-10,PHI,COL,6,6,6,6,Cristopher Sanchez,Tomoyuki Sugano
2026-05-12,PHI,BOS,1,2,2,2,Zack Wheeler,Jovani Moran
2026-05-13,PHI,BOS,-2,1,-2,1,Andrew Painter,Sonny Gray
2026-05-14,PHI,BOS,2,3,0,0,Jesus Luzardo,Ranger Suarez
2026-05-15,PHI,PIT,2,11,-5,3,Aaron Nola,Braxton Ashcraft
2026-05-16,PHI,PIT,6,6,5,5,Cristopher Sanchez,Bubba Chandler
2026-05-17,PHI,PIT,6,6,5,5,Zack Wheeler,Paul Skenes
2026-05-18,PHI,CIN,1,5,1,3,Andrew Painter,Nick Lodolo
2026-05-19,PHI,CIN,-3,1,-1,1,Jesus Luzardo,Chase Burns
2026-05-20,PHI,CIN,-5,4,-1,4,Aaron Nola,Andrew Abbott
2026-05-22,PHI,CLE,-1,0,0,0,Cristopher Sanchez,Gavin Williams
2026-05-23,PHI,CLE,3,3,3,3,Zack Wheeler,Slade Cecconi
2026-05-24,PHI,CLE,-2,1,-2,0,Andrew Painter,Parker Messick
2026-05-25,PHI,SD,3,3,1,1,Jesus Luzardo,Griffin Canning
2026-05-26,PHI,SD,1,4,2,4,Aaron Nola,Randy Vasquez
2026-05-27,PHI,SD,3,3,2,2,Cristopher Sanchez,Walker Buehler
2026-05-29,PHI,LAD,-2,2,-3,1,Zack Wheeler,Justin Wrobleski
2026-05-30,PHI,LAD,1,4,-1,1,Jesus Luzardo,Roki Sasaki
2026-05-31,PHI,LAD,-8,1,-7,0,Andrew Painter,Yoshinobu Yamamoto
2026-06-02,PHI,SD,1,3,1,3,Aaron Nola,Randy Vasquez
2026-06-03,PHI,SD,1,3,1,1,Cristopher Sanchez,Walker Buehler
2026-06-04,PHI,SD,2,6,3,3,Zack Wheeler,Lucas Giolito
2026-06-05,PHI,CWS,2,8,1,6,Jesus Luzardo,Anthony Kay
2026-06-06,PHI,CWS,-3,3,-3,3,Andrew Painter,Brandon Eisert
2026-06-07,PHI,CWS,4,9,4,9,Aaron Nola,Tyler Gilbert
2026-06-08,PHI,TOR,3,5,3,5,Cristopher Sanchez,Patrick Corbin
2026-06-09,PHI,TOR,-1,2,0,1,Zack Wheeler,Dylan Cease
2026-06-10,PHI,TOR,3,7,5,6,Jesus Luzardo,Max Scherzer
2026-06-12,PHI,MIL,-6,0,-6,0,Tanner Banks,Jacob Misiorowski
2026-06-13,PHI,MIL,1,9,5,8,Aaron Nola,Shane Drohan
2026-06-14,PHI,MIL,-4,0,-4,0,Cristopher Sanchez,Kyle Harrison
2026-06-15,PHI,MIA,7,7,5,5,Zack Wheeler,Ryan Gusto
2026-06-16,PHI,MIA,6,8,8,8,Jesus Luzardo,Tyler Phillips
2026-06-17,PHI,MIA,-8,4,-6,4,Andrew Painter,Sandy Alcantara
2026-06-18,PHI,NYM,-2,4,0,3,Aaron Nola,Sean Manaea
2026-06-20,PHI,NYM,12,15,12,13,Cristopher Sanchez,Freddy Peralta
2026-06-21,PHI,NYM,4,6,4,6,Zack Wheeler,David Peterson
2026-06-22,PHI,WSH,-3,1,-2,0,Tim Mayza,Foster Griffin
2026-06-23,PHI,WSH,5,14,-3,2,Jesus Luzardo,Pj Poulin
2026-06-24,PHI,WSH,1,5,-1,3,Aaron Nola,Carson Palmquist
2026-06-25,PHI,WSH,5,10,-3,2,Cristopher Sanchez,Cade Cavalli
2026-06-26,PHI,NYM,1,2,0,1,Zack Wheeler,Zach Thornton
2026-06-27,PHI,NYM,-4,2,-2,2,Tim Mayza,Christian Scott
2026-06-28,PHI,NYM,1,5,-1,3,Jesus Luzardo,Cionel Perez
2026-06-29,PHI,PIT,-4,7,-3,5,Aaron Nola,Braxton Ashcraft
2026-06-30,PHI,PIT,8,8,2,2,Cristopher Sanchez,Bubba Chandler
2026-07-01,PHI,PIT,4,10,4,8,Zack Wheeler,Paul Skenes
2026-07-02,PHI,PIT,-5,1,0,1,Alan Rangel,Jared Jones
2026-07-04,PHI,KC,5,6,3,4,Jesus Luzardo,Michael Wacha
2026-07-05,PHI,KC,-3,2,-2,1,Aaron Nola,Luinder Avila
2026-07-06,PHI,KC,-14,1,-10,1,Cristopher Sanchez,Noah Cameron
