date,team,opponent,rundifferential,teamruns,rundifferential6,teamruns6,teamstarter,opponentstarter
2026-03-26,STL,TB,2,9,2,9,Matthew Liberatore,Drew Rasmussen
2026-03-28,STL,TB,1,6,2,2,Michael Mcgreevy,Joe Boyle
2026-03-29,STL,TB,-4,7,-2,4,Dustin May,Steven Matz
2026-03-30,STL,NYM,-2,2,-2,2,Kyle Leahy,Clay Holmes
2026-03-31,STL,NYM,3,3,2,2,Andre Pallante,Kodai Senga
2026-04-01,STL,NYM,1,2,0,1,Matthew Liberatore,Freddy Peralta
2026-04-03,STL,DET,-4,0,-4,0,Michael Mcgreevy,Framber Valdez
2026-04-04,STL,DET,-5,6,-2,6,Dustin May,Jack Flaherty
2026-04-05,STL,DET,2,5,1,4,Kyle Leahy,Keider Montero
2026-04-06,STL,WSH,-3,6,0,3,Andre Pallante,Zack Littell
2026-04-07,STL,WSH,1,7,-3,2,Matthew Liberatore,Cade Cavalli
2026-04-08,STL,WSH,5,6,2,3,Michael Mcgreevy,Miles Mikolas
2026-04-10,STL,BOS,1,3,1,3,Dustin May,Connelly Early
2026-04-11,STL,BOS,-6,1,-2,0,Kyle Leahy,Ranger Suarez
2026-04-12,STL,BOS,-6,3,-5,2,Andre Pallante,Brayan Bello
2026-04-13,STL,CLE,-6,3,-4,2,Matthew Liberatore,Gavin Williams
2026-04-14,STL,CLE,1,6,0,2,Michael Mcgreevy,Joey Cantillo
2026-04-15,STL,CLE,2,5,3,4,Dustin May,Slade Cecconi
2026-04-17,STL,HOU,5,9,1,4,Kyle Leahy,Peter Lambert
2026-04-18,STL,HOU,2,7,4,5,Andre Pallante,Lance Mccullers
2026-04-19,STL,HOU,2,7,3,4,Matthew Liberatore,Mike Burrows
2026-04-20,STL,MIA,-2,3,-2,2,Michael Mcgreevy,Max Meyer
2026-04-21,STL,MIA,2,5,4,5,Dustin May,Chris Paddack
2026-04-22,STL,MIA,-3,1,-4,0,Kyle Leahy,Janson Junk
2026-04-24,STL,SEA,-1,2,-1,2,Andre Pallante,George Kirby
2026-04-25,STL,SEA,-2,9,0,7,Matthew Liberatore,Bryan Woo
2026-04-26,STL,SEA,-1,2,1,2,Michael Mcgreevy,Emerson Hancock
2026-04-27,STL,PIT,2,4,-2,0,Dustin May,Mason Montgomery
2026-04-28,STL,PIT,4,11,3,6,Kyle Leahy,Braxton Ashcraft
2026-04-29,STL,PIT,1,5,2,3,Andre Pallante,Bubba Chandler
2026-04-30,STL,PIT,5,10,2,5,Hunter Dobbins,Paul Skenes
2026-05-01,STL,LAD,5,7,2,4,Matthew Liberatore,Emmet Sheehan
2026-05-02,STL,LAD,1,3,3,3,Michael Mcgreevy,Roki Sasaki
2026-05-03,STL,LAD,-3,1,-3,0,Dustin May,Justin Wrobleski
2026-05-04,STL,MIL,3,6,3,4,Kyle Leahy,Chad Patrick
2026-05-06,STL,MIL,-4,2,-5,0,Andre Pallante,Brandon Sproat
2026-05-07,STL,SD,1,2,0,1,Matthew Liberatore,Michael King
2026-05-08,STL,SD,6,6,6,6,Michael Mcgreevy,Griffin Canning
2026-05-09,STL,SD,-2,2,-2,1,Dustin May,Randy Vasquez
2026-05-10,STL,SD,-1,2,2,2,Kyle Leahy,Walker Buehler
2026-05-12,STL,ATH,2,6,3,6,Andre Pallante,Jeffrey Springs
2026-05-13,STL,ATH,-4,2,-3,1,Matthew Liberatore,J T
2026-05-14,STL,ATH,1,5,2,3,Michael Mcgreevy,Jacob Lopez
2026-05-15,STL,KC,1,5,0,3,Dustin May,Michael Wacha
2026-05-16,STL,KC,2,4,2,3,Kyle Leahy,Noah Cameron
2026-05-17,STL,KC,-2,0,-2,0,Andre Pallante,Stephen Kolek
2026-05-19,STL,PIT,3,9,1,5,Matthew Liberatore,Mitch Keller
2026-05-20,STL,PIT,-7,0,-3,0,Michael Mcgreevy,Carmen Mlodzinski
2026-05-21,STL,PIT,-4,2,-3,1,Dustin May,Braxton Ashcraft
2026-05-23,STL,CIN,1,8,-2,4,Kyle Leahy,Chris Paddack
2026-05-25,STL,MIL,-4,1,-3,1,Matthew Liberatore,Jacob Misiorowski
2026-05-26,STL,MIL,-6,0,-6,0,Michael Mcgreevy,Kyle Harrison
2026-05-27,STL,MIL,-1,1,1,1,Dustin May,Chad Patrick
2026-05-29,STL,CHC,1,6,1,5,Andre Pallante,Shota Imanaga
2026-05-30,STL,CHC,-5,1,-2,1,Kyle Leahy,Ben Brown
2026-05-31,STL,CHC,4,5,4,5,Matthew Liberatore,Jordan Wicks
2026-06-01,STL,TEX,-1,1,-1,1,Michael Mcgreevy,Jacob Degrom
2026-06-02,STL,TEX,-3,4,-1,2,Dustin May,Nathan Eovaldi
2026-06-03,STL,TEX,2,5,4,5,Andre Pallante,Mackenzie Gore
2026-06-05,STL,CIN,7,10,7,10,Kyle Leahy,Brady Singer
2026-06-06,STL,CIN,1,6,-1,4,Matthew Liberatore,Nick Lodolo
