2023-03-30,DET,TB,-4,0,-3,0,Eduardo Rodriguez,Shane Mcclanahan
2023-04-01,DET,TB,-10,2,-8,2,Spencer Turnbull,Zach Eflin
2023-04-02,DET,TB,-4,1,-4,0,Joey Wentz,Jeffrey Springs
2023-04-03,DET,HOU,1,7,0,4,Matthew Boyd,Hunter Brown
2023-04-04,DET,HOU,3,6,1,3,Matt Manning,Framber Valdez
2023-04-05,DET,HOU,-6,2,-3,1,Eduardo Rodriguez,Cristian Javier
2023-04-06,DET,BOS,-3,3,-3,3,Spencer Turnbull,Chris Sale
2023-04-08,DET,BOS,-9,5,-6,2,Joey Wentz,Tanner Houck
2023-04-09,DET,BOS,-3,1,-1,1,Matthew Boyd,Kutter Crawford
2023-04-11,DET,TOR,-6,3,-1,3,Matt Manning,Alek Manoah
2023-04-12,DET,TOR,-1,3,0,1,Eduardo Rodriguez,Kevin Gausman
2023-04-13,DET,TOR,2,3,1,2,Spencer Turnbull,Chris Bassitt
2023-04-14,DET,SF,2,7,3,4,Joey Wentz,Sean Manaea
2023-04-15,DET,SF,1,7,-3,3,Michael Lorenzen,Anthony Desclafani
2023-04-18,DET,CLE,1,4,0,3,Eduardo Rodriguez,Hunter Gaddis
2023-04-19,DET,CLE,-1,2,-3,0,Spencer Turnbull,Cal Quantrill
2023-04-21,DET,BAL,-1,1,0,0,Michael Lorenzen,Tyler Wells
2023-04-22,DET,BAL,-4,1,-5,0,Joey Wentz,Kyle Gibson
2023-04-23,DET,BAL,-1,1,0,0,Eduardo Rodriguez,Grayson Rodriguez
2023-04-24,DET,MIL,2,4,2,4,Matthew Boyd,Colin Rea
2023-04-25,DET,MIL,1,4,1,4,Spencer Turnbull,Eric Lauer
2023-04-26,DET,MIL,-4,2,-3,2,Michael Lorenzen,Freddy Peralta
2023-04-27,DET,BAL,-3,4,2,4,Joey Wentz,Kyle Gibson
2023-04-29,DET,BAL,1,7,-1,5,Matthew Boyd,Dean Kremer
2023-04-30,DET,BAL,-2,3,-1,3,Spencer Turnbull,Kyle Bradish
2023-05-03,DET,NYM,3,8,1,6,Joey Wentz,Max Scherzer
2023-05-04,DET,NYM,2,2,2,2,Eduardo Rodriguez,Justin Verlander
2023-05-05,DET,STL,1,5,-1,2,Matthew Boyd,Jordan Montgomery
2023-05-06,DET,STL,1,6,-1,4,Spencer Turnbull,Adam Wainwright
2023-05-07,DET,STL,-6,6,-4,6,Alex Faedo,Steven Matz
2023-05-08,DET,CLE,4,6,3,5,Joey Wentz,Tanner Bibee
2023-05-09,DET,CLE,-2,0,-1,0,Michael Lorenzen,Shane Bieber
2023-05-10,DET,CLE,5,5,5,5,Eduardo Rodriguez,Peyton Battenfield
2023-05-12,DET,SEA,-7,2,-4,2,Matthew Boyd,Marco Gonzales
2023-05-13,DET,SEA,-5,0,-3,0,Alex Faedo,Bryce Miller
2023-05-14,DET,SEA,2,5,0,3,Joey Wentz,Logan Gilbert
2023-05-16,DET,PIT,4,4,4,4,Michael Lorenzen,Luis L
2023-05-17,DET,PIT,-8,0,-4,0,Eduardo Rodriguez,Rich Hill
2023-05-19,DET,WSH,2,8,5,8,Matthew Boyd,Jake Irvin
2023-05-20,DET,WSH,-3,2,-2,2,Alex Faedo,Patrick Corbin
2023-05-21,DET,WSH,-2,4,-3,3,Joey Wentz,Josiah Gray
2023-05-22,DET,KC,3,8,0,5,Michael Lorenzen,Brady Singer
2023-05-23,DET,KC,-3,1,-3,1,Eduardo Rodriguez,Mike Mayers
2023-05-24,DET,KC,2,6,3,4,Matthew Boyd,Zack Greinke
2023-05-25,DET,CWS,5,7,3,5,Alex Faedo,Lucas Giolito
2023-05-26,DET,CWS,-9,3,-5,3,Joey Wentz,Lance Lynn
2023-05-27,DET,CWS,4,7,2,2,Michael Lorenzen,Jesse Scholtens
2023-05-28,DET,CWS,1,6,3,4,Eduardo Rodriguez,Dylan Cease
2023-05-29,DET,TEX,-5,0,-3,0,Matthew Boyd,Nathan Eovaldi
2023-05-30,DET,TEX,-4,6,-1,6,Alex Faedo,Martin Perez
2023-05-31,DET,TEX,1,3,2,3,Joey Wentz,Dane Dunning
2023-06-02,DET,CWS,-3,0,-2,0,Reese Olson,Mike Clevinger
2023-06-03,DET,CWS,-1,1,0,1,Michael Lorenzen,Dylan Cease
2023-06-04,DET,CWS,-4,2,0,2,Matthew Boyd,Michael Kopech
