team,nextup,ondeck
LAA,Lucas Giolito,Shohei Ohtani
HOU,Cristian Javier,Justin Verlander
OAK,Paul Blackburn,Dany Jimenez
TOR,Yusei Kikuchi,Kevin Gausman
ATL,Allan Winans,Bryce Elder
MIL,Adrian Houser,Wade Miley
STL,Drew Rom,Adam Wainwright
CHC,???,???
AZ,Ryne Nelson,Zac Gallen
LAD,Bobby Miller,Clayton Kershaw
SF,Alex Cobb,Logan Webb
CLE,Noah Syndergaard,Xzavion Curry
SEA,Emerson Hancock,Luis Castillo
MIA,Ryan Weathers,Jesus Luzardo
NYM,David Peterson,Tylor Megill
WSH,Trevor Williams,Josiah Gray
BAL,Grayson Rodriguez,Dean Kremer
SD,Nick Martinez,Yu Darvish
PHI,Aaron Nola,Taijuan Walker
PIT,???,???
TEX,Jordan Montgomery,Jon Gray
TB,Zack Littell,Aaron Civale
BOS,Tanner Houck,Chris Sale
CIN,???,???
COL,Ty Blach,Austin Gomber
KC,Tucker Davidson,Angel Zerpa
DET,Alex Faedo,Reese Olson
MIN,Sonny Gray,Bailey Ober
CWS,Mike Clevinger,Michael Kopech
NYY,Carlos Rodon,Luis Severino
