cycle,ace,no2,no3,no4,no5,
0,Max Fried,Spencer Strider,Jared Shuster,Charlie Morton,Dylan Dodd,
1,Bryce Elder,Spencer Strider,Jared Shuster,Charlie Morton,Dylan Dodd,
2,Bryce Elder,Kyle Wright,Spencer Strider,Charlie Morton,Bryce Elder,
3,Kyle Wright,Max Fried,Spencer Strider,Charlie Morton,Bryce Elder,
4,Kyle Wright,Max Fried,Spencer Strider,Charlie Morton,Bryce Elder,
5,Kyle Wright,Max Fried,Spencer Strider,Bryce Elder,Kyle Wright,
6,Dylan Dodd,Max Fried,Spencer Strider,Bryce Elder,Charlie Morton,
7,Dylan Lee,Spencer Strider,Bryce Elder,Collin Mchugh,Charlie Morton,
8,Jared Shuster,Spencer Strider,Bryce Elder,Jesse Chavez,Jared Shuster,
9,Charlie Morton,Spencer Strider,Bryce Elder,Dylan Dodd,Jared Shuster,
10,Charlie Morton,Spencer Strider,Michael Soroka,Bryce Elder,Jared Shuster,
11,Charlie Morton,Spencer Strider,Michael Soroka,Bryce Elder,Charlie Morton,
12,Spencer Strider,Aj Smith,Jared Shuster,Bryce Elder,Charlie Morton,
13,Dylan Dodd,Aj Smith,Jared Shuster,Bryce Elder,Charlie Morton,
14,Spencer Strider,Bryce Elder,Aj Smith,Jared Shuster,Charlie Morton,
15,Spencer Strider,Bryce Elder,Kolby Allard,Michael Soroka,Charlie Morton,
16,Spencer Strider,Bryce Elder,Kolby Allard,Michael Soroka,Charlie Morton,
17,Spencer Strider,Bryce Elder,Charlie Morton,Spencer Strider,Kolby Allard,
18,Bryce Elder,Charlie Morton,Spencer Strider,Michael Soroka,Allan Winans,
19,Bryce Elder,Charlie Morton,Spencer Strider,Yonny Chirinos,Bryce Elder,
20,Aj Smith,Charlie Morton,Spencer Strider,Yonny Chirinos,Max Fried,
21,Bryce Elder,Charlie Morton,Spencer Strider,Yonny Chirinos,,
