cycle,ace,no2,no3,no4,no5,
0,Kyle Gibson,Dean Kremer,Cole Irvin,Kyle Bradish,Kyle Gibson,
1,Grayson Rodriguez,Dean Kremer,Cole Irvin,Tyler Wells,Kyle Gibson,
2,Grayson Rodriguez,Dean Kremer,Cole Irvin,Tyler Wells,Kyle Gibson,
3,Grayson Rodriguez,Dean Kremer,Kyle Bradish,Tyler Wells,Kyle Gibson,
4,Grayson Rodriguez,Dean Kremer,Kyle Bradish,Tyler Wells,Kyle Gibson,
5,Dean Kremer,Kyle Bradish,Tyler Wells,Kyle Gibson,Grayson Rodriguez,
6,Dean Kremer,Kyle Bradish,Tyler Wells,Kyle Gibson,Grayson Rodriguez,
7,Dean Kremer,Kyle Bradish,Tyler Wells,Kyle Gibson,Grayson Rodriguez,
8,Dean Kremer,Kyle Bradish,Tyler Wells,???,Grayson Rodriguez,
9,Dean Kremer,Kyle Bradish,Tyler Wells,Kyle Gibson,Grayson Rodriguez,
10,Dean Kremer,Kyle Bradish,Tyler Wells,Kyle Gibson,Keegan Akin,
11,Dean Kremer,Kyle Bradish,Tyler Wells,Kyle Gibson,Dean Kremer,
12,Kyle Bradish,Tyler Wells,Cole Irvin,Kyle Gibson,Dean Kremer,
13,Kyle Bradish,Tyler Wells,Cole Irvin,Kyle Gibson,Dean Kremer,
14,Kyle Bradish,Tyler Wells,Kyle Gibson,Dean Kremer,Kyle Bradish,
15,Cole Irvin,Tyler Wells,Kyle Gibson,Dean Kremer,Kyle Bradish,
16,Cole Irvin,Tyler Wells,Kyle Gibson,Dean Kremer,Kyle Bradish,
17,Cole Irvin,Tyler Wells,Kyle Gibson,Dean Kremer,Kyle Gibson,
18,Kyle Bradish,Grayson Rodriguez,Tyler Wells,Dean Kremer,Kyle Gibson,
19,Kyle Bradish,Grayson Rodriguez,Tyler Wells,Dean Kremer,Kyle Gibson,
20,Kyle Bradish,Grayson Rodriguez,Tyler Wells,Dean Kremer,Kyle Gibson,
21,Kyle Bradish,Grayson Rodriguez,Jack Flaherty,Dean Kremer,Kyle Gibson,
22,Kyle Bradish,Grayson Rodriguez,Jack Flaherty,Dean Kremer,Kyle Gibson,
23,Cole Irvin,Kyle Bradish,Grayson Rodriguez,Jack Flaherty,Dean Kremer,
24,Kyle Gibson,Cole Irvin,Kyle Bradish,Grayson Rodriguez,Dean Kremer,
25,Kyle Gibson,Cole Irvin,Kyle Bradish,Jack Flaherty,Grayson Rodriguez,
26,Dean Kremer,Kyle Gibson,Cole Irvin,,,
