cycle,ace,no2,no3,no4,no5,
0,German Marquez,Kyle Freeland,Jose Urena,Austin Gomber,Ryan Feltner,
1,German Marquez,Kyle Freeland,Jose Urena,Austin Gomber,Ryan Feltner,
2,German Marquez,Kyle Freeland,Jose Urena,Austin Gomber,Ryan Feltner,
3,Noah Davis,Kyle Freeland,Jose Urena,Austin Gomber,Ryan Feltner,
4,Noah Davis,Kyle Freeland,Jose Urena,Austin Gomber,Ryan Feltner,
5,German Marquez,Kyle Freeland,Noah Davis,Austin Gomber,Ryan Feltner,
6,Kyle Freeland,Connor Seabold,Antonio Senzatela,Austin Gomber,Ryan Feltner,
7,Kyle Freeland,Connor Seabold,Antonio Senzatela,Austin Gomber,Ryan Feltner,
8,Kyle Freeland,Connor Seabold,Chase Anderson,Austin Gomber,Karl Kauffmann,
9,Kyle Freeland,Connor Seabold,Chase Anderson,Austin Gomber,Karl Kauffmann,
10,Kyle Freeland,Connor Seabold,Chase Anderson,Austin Gomber,Karl Kauffmann,
11,Kyle Freeland,Dinelson Lamet,Connor Seabold,Chase Anderson,Austin Gomber,
12,Kyle Freeland,Dinelson Lamet,Connor Seabold,Chase Anderson,Austin Gomber,
13,Kyle Freeland,Dinelson Lamet,Connor Seabold,Chase Anderson,Austin Gomber,
14,Kyle Freeland,Dinelson Lamet,Connor Seabold,Chase Anderson,Austin Gomber,
15,Noah Davis,Jake Bird,Kyle Freeland,Chase Anderson,Austin Gomber,
16,Connor Seabold,Kyle Freeland,Chase Anderson,Austin Gomber,Peter Lambert,
17,Connor Seabold,Kyle Freeland,Chase Anderson,Austin Gomber,Connor Seabold,
18,Kyle Freeland,Austin Gomber,Connor Seabold,Chase Anderson,Jake Bird,
19,Austin Gomber,Peter Lambert,Chase Anderson,Ty Blach,Jake Bird,
20,Austin Gomber,Peter Lambert,Kyle Freeland,Chris Flexen,Ty Blach,
21,Austin Gomber,Peter Lambert,Kyle Freeland,Chris Flexen,Ty Blach,
22,Austin Gomber,Peter Lambert,Kyle Freeland,Chris Flexen,Ty Blach,
23,Austin Gomber,Peter Lambert,Kyle Freeland,Chris Flexen,Ty Blach,
24,Austin Gomber,Peter Lambert,Kyle Freeland,Chris Flexen,Ty Blach,
25,Austin Gomber,Peter Lambert,Kyle Freeland,Chris Flexen,Ty Blach,
26,Austin Gomber,Peter Lambert,Kyle Freeland,Chris Flexen,Ty Blach,
27,Chase Anderson,Peter Lambert,Kyle Freeland,Chris Flexen,Ty Blach,
28,Chase Anderson,Peter Lambert,Kyle Freeland,Chris Flexen,Ty Blach,
29,Chase Anderson,Brent Suter,Chris Flexen,Ty Blach,Ryan Feltner,
30,Chase Anderson,Noah Davis,Chris Flexen,Ty Blach,Chase Anderson,
31,Noah Davis,Chris Flexen,Ty Blach,Matt Koch,,
