cycle,ace,no2,no3,no4,no5,
0,Dylan Cease,Lance Lynn,Lucas Giolito,Mike Clevinger,Michael Kopech,
1,Dylan Cease,Lance Lynn,Lucas Giolito,Mike Clevinger,Michael Kopech,
2,Dylan Cease,Lance Lynn,Lucas Giolito,Mike Clevinger,Michael Kopech,
3,Dylan Cease,Lance Lynn,Mike Clevinger,Michael Kopech,Dylan Cease,
4,Lucas Giolito,Lance Lynn,Mike Clevinger,Michael Kopech,Dylan Cease,
5,Lucas Giolito,Lance Lynn,Mike Clevinger,Michael Kopech,Dylan Cease,
6,Lucas Giolito,Lance Lynn,Mike Clevinger,Michael Kopech,Dylan Cease,
7,Lucas Giolito,Lance Lynn,Mike Clevinger,Michael Kopech,Dylan Cease,
8,Lucas Giolito,Lance Lynn,Mike Clevinger,Dylan Cease,Michael Kopech,
9,Lucas Giolito,Lance Lynn,Jimmy Lambert,Dylan Cease,Michael Kopech,
10,Lucas Giolito,Lance Lynn,Jesse Scholtens,Dylan Cease,Michael Kopech,
11,Lucas Giolito,Lance Lynn,Mike Clevinger,Dylan Cease,Michael Kopech,
12,Lucas Giolito,Lance Lynn,Dylan Cease,Michael Kopech,Lucas Giolito,
13,Lance Lynn,Mike Clevinger,Dylan Cease,Michael Kopech,Lucas Giolito,
14,Lance Lynn,Tanner Banks,Dylan Cease,Michael Kopech,Lucas Giolito,
15,Lance Lynn,Tanner Banks,Dylan Cease,Michael Kopech,Lucas Giolito,
16,Lance Lynn,Tanner Banks,Dylan Cease,Touki Toussaint,Lucas Giolito,
17,Lance Lynn,Dylan Cease,Touki Toussaint,Lucas Giolito,Michael Kopech,
18,Lance Lynn,Dylan Cease,Lucas Giolito,Touki Toussaint,Michael Kopech,
19,Lance Lynn,Dylan Cease,Lucas Giolito,Michael Kopech,Lance Lynn,
20,Dylan Cease,Touki Toussaint,Mike Clevinger,Michael Kopech,Jesse Scholtens,
21,Dylan Cease,Touki Toussaint,Mike Clevinger,Michael Kopech,Jesse Scholtens,
22,Dylan Cease,Touki Toussaint,Mike Clevinger,Michael Kopech,Jesse Scholtens,
23,Dylan Cease,Touki Toussaint,Mike Clevinger,Michael Kopech,Jesse Scholtens,
24,Dylan Cease,Touki Toussaint,Mike Clevinger,Michael Kopech,Jesse Scholtens,
25,Dylan Cease,Touki Toussaint,Mike Clevinger,Michael Kopech,Jesse Scholtens,
26,Dylan Cease,Touki Toussaint,Mike Clevinger,Michael Kopech,Jesse Scholtens,
27,Dylan Cease,Touki Toussaint,Mike Clevinger,Jose Urena,Jesse Scholtens,
28,Touki Toussaint,Mike Clevinger,Jose Urena,Jesse Scholtens,Touki Toussaint,
29,Dylan Cease,Mike Clevinger,Jose Urena,Michael Kopech,Touki Toussaint,
30,Dylan Cease,Mike Clevinger,Jose Urena,Luis Patino,Touki Toussaint,
31,Dylan Cease,Mike Clevinger,,,,
