cycle,ace,no2,no3,no4,no5,
0,Eduardo Rodriguez,Spencer Turnbull,Joey Wentz,Matthew Boyd,Matt Manning,
1,Eduardo Rodriguez,Spencer Turnbull,Joey Wentz,Matthew Boyd,Matt Manning,
2,Eduardo Rodriguez,Spencer Turnbull,Joey Wentz,Michael Lorenzen,Eduardo Rodriguez,
3,Spencer Turnbull,Michael Lorenzen,Joey Wentz,Eduardo Rodriguez,Matthew Boyd,
4,Spencer Turnbull,Michael Lorenzen,Joey Wentz,Matthew Boyd,Spencer Turnbull,
5,Joey Wentz,Eduardo Rodriguez,Matthew Boyd,Spencer Turnbull,Alex Faedo,
6,Joey Wentz,Michael Lorenzen,Eduardo Rodriguez,Matthew Boyd,Alex Faedo,
7,Joey Wentz,Michael Lorenzen,Eduardo Rodriguez,Matthew Boyd,Alex Faedo,
8,Joey Wentz,Michael Lorenzen,Eduardo Rodriguez,Matthew Boyd,Alex Faedo,
9,Joey Wentz,Michael Lorenzen,Eduardo Rodriguez,Matthew Boyd,Alex Faedo,
10,Joey Wentz,Reese Olson,Michael Lorenzen,Matthew Boyd,Joey Wentz,
11,Tyler Alexander,Tyler Holton,Michael Lorenzen,Matthew Boyd,Will Vest,
12,Mason Englert,Michael Lorenzen,Matthew Boyd,Will Vest,Joey Wentz,
13,Will Vest,Reese Olson,Michael Lorenzen,Matthew Boyd,Joey Wentz,
14,Reese Olson,Michael Lorenzen,Matthew Boyd,Matt Manning,Joey Wentz,
15,Reese Olson,Michael Lorenzen,Brendan White,Matt Manning,Tarik Skubal,
16,Eduardo Rodriguez,Michael Lorenzen,Alex Faedo,Matt Manning,Tarik Skubal,
17,Eduardo Rodriguez,Michael Lorenzen,Reese Olson,Matt Manning,Tarik Skubal,
18,Eduardo Rodriguez,Michael Lorenzen,Reese Olson,Matt Manning,Alex Faedo,
19,Tarik Skubal,Eduardo Rodriguez,Michael Lorenzen,Reese Olson,Beau Brieske,
20,Tarik Skubal,Matt Manning,Eduardo Rodriguez,Reese Olson,Tarik Skubal,
21,Matt Manning,Joey Wentz,Eduardo Rodriguez,Alex Faedo,Reese Olson,
22,Tarik Skubal,Matt Manning,Eduardo Rodriguez,Alex Faedo,Reese Olson,
23,Joey Wentz,Matt Manning,Eduardo Rodriguez,Alex Faedo,Reese Olson,
24,Tarik Skubal,Matt Manning,Eduardo Rodriguez,Alex Faedo,Reese Olson,
25,Tarik Skubal,Brendan White,Matt Manning,Eduardo Rodriguez,Reese Olson,
26,Tarik Skubal,Alex Faedo,Matt Manning,Eduardo Rodriguez,Reese Olson,
27,Tarik Skubal,Sawyer Gipson,Joey Wentz,,,
