cycle,ace,no2,no3,no4,no5,
0,Framber Valdez,Cristian Javier,Jose Urquidy,Luis Garcia,Hunter Brown,
1,Framber Valdez,Cristian Javier,Jose Urquidy,Luis Garcia,Hunter Brown,
2,Framber Valdez,Cristian Javier,Jose Urquidy,Luis Garcia,Hunter Brown,
3,Framber Valdez,Cristian Javier,Jose Urquidy,Luis Garcia,Hunter Brown,
4,Framber Valdez,Cristian Javier,Jose Urquidy,Luis Garcia,Hunter Brown,
5,Framber Valdez,Cristian Javier,Jose Urquidy,Brandon Bielak,Hunter Brown,
6,Framber Valdez,Cristian Javier,J P,Brandon Bielak,Hunter Brown,
7,Framber Valdez,Cristian Javier,J P,Brandon Bielak,Hunter Brown,
8,Framber Valdez,Cristian Javier,J P,Brandon Bielak,Hunter Brown,
9,Framber Valdez,Cristian Javier,J P,Brandon Bielak,Hunter Brown,
10,Framber Valdez,Cristian Javier,J P,Brandon Bielak,Hunter Brown,
11,Ronel Blanco,Framber Valdez,Cristian Javier,J P,Brandon Bielak,
12,Hunter Brown,Ronel Blanco,Framber Valdez,Cristian Javier,J P,
13,Brandon Bielak,Hunter Brown,Framber Valdez,Cristian Javier,J P,
14,Brandon Bielak,Ronel Blanco,Hunter Brown,Framber Valdez,Cristian Javier,
15,J P,Ronel Blanco,Hunter Brown,Framber Valdez,Cristian Javier,
16,J P,Ronel Blanco,Hunter Brown,Shawn Dubin,Cristian Javier,
17,Brandon Bielak,J P,Ronel Blanco,Hunter Brown,Framber Valdez,
18,Brandon Bielak,J P,Framber Valdez,Cristian Javier,Hunter Brown,
19,Brandon Bielak,J P,Framber Valdez,Cristian Javier,Hunter Brown,
20,Brandon Bielak,J P,Framber Valdez,Cristian Javier,Hunter Brown,
21,Brandon Bielak,J P,Framber Valdez,Ronel Blanco,Cristian Javier,
22,Hunter Brown,Justin Verlander,Jose Urquidy,Framber Valdez,Cristian Javier,
23,Hunter Brown,Justin Verlander,J P,Jose Urquidy,Framber Valdez,
24,Cristian Javier,Justin Verlander,J P,Framber Valdez,Hunter Brown,
