cycle,ace,no2,no3,no4,no5,
0,Zack Greinke,Jordan Lyles,Brad Keller,Brady Singer,Kris Bubic,
1,Zack Greinke,Jordan Lyles,Brad Keller,Brady Singer,Kris Bubic,
2,Zack Greinke,Jordan Lyles,Brad Keller,Brady Singer,Kris Bubic,
3,Zack Greinke,Jordan Lyles,Brad Keller,Brady Singer,Taylor Clarke,
4,Zack Greinke,Jordan Lyles,Brad Keller,Brady Singer,Ryan Yarbrough,
5,Zack Greinke,Jordan Lyles,Brad Keller,Brady Singer,Ryan Yarbrough,
6,Zack Greinke,Jordan Lyles,Brad Keller,Brady Singer,Ryan Yarbrough,
7,Zack Greinke,Jordan Lyles,Brad Keller,Brady Singer,Josh Taylor,
8,Zack Greinke,Jordan Lyles,Brad Keller,Brady Singer,Carlos Hernandez,
9,Zack Greinke,Jordan Lyles,Carlos Hernandez,Brady Singer,Mike Mayers,
10,Zack Greinke,Jordan Lyles,Brady Singer,Daniel Lynch,Josh Staumont,
11,Zack Greinke,Jordan Lyles,Daniel Lynch,Brady Singer,Carlos Hernandez,
12,Zack Greinke,Jordan Lyles,Daniel Lynch,Brady Singer,Carlos Hernandez,
13,Zack Greinke,Jordan Lyles,Daniel Lynch,Brady Singer,Mike Mayers,
14,Zack Greinke,Jordan Lyles,Daniel Lynch,Brady Singer,Jose Cuas,
15,Zack Greinke,Jordan Lyles,Daniel Lynch,Brady Singer,Austin Cox,
16,Zack Greinke,Alec Marsh,Daniel Lynch,Brady Singer,Austin Cox,
17,Zack Greinke,Alec Marsh,Jordan Lyles,Daniel Lynch,Brady Singer,
18,Ryan Yarbrough,Cole Ragans,Brady Singer,Jordan Lyles,Daniel Lynch,
19,Ryan Yarbrough,Zack Greinke,Alec Marsh,Brady Singer,Jordan Lyles,
20,Ryan Yarbrough,Zack Greinke,Alec Marsh,Brady Singer,Jordan Lyles,
21,Ryan Yarbrough,Zack Greinke,Cole Ragans,Brady Singer,Jordan Lyles,
22,Alec Marsh,Zack Greinke,Cole Ragans,Brady Singer,Jordan Lyles,
23,Austin Cox,Dylan Coleman,Cole Ragans,Brady Singer,Jordan Lyles,
24,James Mcarthur,Angel Zerpa,Cole Ragans,Brady Singer,Jordan Lyles,
25,Tucker Davidson,Angel Zerpa,Cole Ragans,Brady Singer,Jordan Lyles,
26,Alec Marsh,Zack Greinke,Cole Ragans,Angel Zerpa,Jordan Lyles,
27,Alec Marsh,Taylor Clarke,Cole Ragans,Brady Singer,Jordan Lyles,
