cycle,ace,no2,no3,no4,no5,
0,Sandy Alcantara,Jesus Luzardo,Edward Cabrera,Trevor Rogers,Johnny Cueto,
1,Sandy Alcantara,Jesus Luzardo,Edward Cabrera,Trevor Rogers,Braxton Garrett,
2,Sandy Alcantara,Jesus Luzardo,Edward Cabrera,Trevor Rogers,Braxton Garrett,
3,Sandy Alcantara,Jesus Luzardo,Edward Cabrera,Trevor Rogers,Braxton Garrett,
4,Jesus Luzardo,Edward Cabrera,Bryan Hoeing,Sandy Alcantara,Braxton Garrett,
5,Jesus Luzardo,Edward Cabrera,Bryan Hoeing,Sandy Alcantara,Braxton Garrett,
6,Jesus Luzardo,Edward Cabrera,Matt Barnes,Sandy Alcantara,Braxton Garrett,
7,Jesus Luzardo,Edward Cabrera,Eury Perez,Sandy Alcantara,Braxton Garrett,
8,Jesus Luzardo,Edward Cabrera,Eury Perez,Sandy Alcantara,Braxton Garrett,
9,Jesus Luzardo,Edward Cabrera,Eury Perez,Sandy Alcantara,Braxton Garrett,
10,Jesus Luzardo,Edward Cabrera,Eury Perez,Sandy Alcantara,Braxton Garrett,
11,Jesus Luzardo,Edward Cabrera,Eury Perez,Sandy Alcantara,Braxton Garrett,
12,Jesus Luzardo,Edward Cabrera,Eury Perez,Sandy Alcantara,Braxton Garrett,
13,Jesus Luzardo,Edward Cabrera,Eury Perez,Sandy Alcantara,Braxton Garrett,
14,Jesus Luzardo,Bryan Hoeing,Eury Perez,Sandy Alcantara,Braxton Garrett,
15,Jesus Luzardo,Bryan Hoeing,Eury Perez,Sandy Alcantara,Braxton Garrett,
16,Jesus Luzardo,Bryan Hoeing,Eury Perez,Sandy Alcantara,Braxton Garrett,
17,Jesus Luzardo,Bryan Hoeing,Eury Perez,Sandy Alcantara,Braxton Garrett,
18,Jesus Luzardo,Sandy Alcantara,Braxton Garrett,Steven Okert,Jesus Luzardo,
19,Edward Cabrera,Sandy Alcantara,Braxton Garrett,Johnny Cueto,Jesus Luzardo,
20,Edward Cabrera,Sandy Alcantara,Braxton Garrett,Johnny Cueto,Jesus Luzardo,
21,Edward Cabrera,Sandy Alcantara,Braxton Garrett,Johnny Cueto,Jesus Luzardo,
22,George Soriano,Sandy Alcantara,Eury Perez,Braxton Garrett,Johnny Cueto,
23,Jesus Luzardo,Sandy Alcantara,Eury Perez,Braxton Garrett,Johnny Cueto,
24,Jesus Luzardo,Sandy Alcantara,Eury Perez,Ryan Weathers,Jesus Luzardo,
25,Sandy Alcantara,Braxton Garrett,Eury Perez,Jt Chargois,Sandy Alcantara,
26,Jesus Luzardo,Braxton Garrett,Eury Perez,Johnny Cueto,Sandy Alcantara,
27,Jesus Luzardo,Jt Chargois,Braxton Garrett,Eury Perez,Johnny Cueto,
28,Steven Okert,Jesus Luzardo,Jt Chargois,Braxton Garrett,Eury Perez,
29,Johnny Cueto,Bryan Hoeing,Jesus Luzardo,Edward Cabrera,Braxton Garrett,
30,Eury Perez,Jt Chargois,Jesus Luzardo,Edward Cabrera,Braxton Garrett,
31,Edward Cabrera,Steven Okert,,,,
