cycle,ace,no2,no3,no4,no5,
0,Corbin Burnes,Brandon Woodruff,Eric Lauer,Freddy Peralta,Wade Miley,
1,Corbin Burnes,Brandon Woodruff,Eric Lauer,Freddy Peralta,Wade Miley,
2,Corbin Burnes,Janson Junk,Colin Rea,Eric Lauer,Freddy Peralta,
3,Wade Miley,Corbin Burnes,Colin Rea,Eric Lauer,Freddy Peralta,
4,Wade Miley,Corbin Burnes,Colin Rea,Eric Lauer,Freddy Peralta,
5,Wade Miley,Corbin Burnes,Colin Rea,Freddy Peralta,Eric Lauer,
6,Wade Miley,Corbin Burnes,Colin Rea,Adrian Houser,Freddy Peralta,
7,Eric Lauer,Wade Miley,Corbin Burnes,Adrian Houser,Colin Rea,
8,???,Wade Miley,Corbin Burnes,Adrian Houser,Eric Lauer,
9,Freddy Peralta,Corbin Burnes,Colin Rea,Adrian Houser,Julio Teheran,
10,Freddy Peralta,Corbin Burnes,Colin Rea,Adrian Houser,Julio Teheran,
11,Freddy Peralta,Corbin Burnes,Colin Rea,Adrian Houser,Julio Teheran,
12,Freddy Peralta,Corbin Burnes,Colin Rea,Adrian Houser,Julio Teheran,
13,Freddy Peralta,Corbin Burnes,Colin Rea,Julio Teheran,Wade Miley,
14,Freddy Peralta,Corbin Burnes,Colin Rea,Julio Teheran,Wade Miley,
15,Freddy Peralta,Corbin Burnes,Colin Rea,Julio Teheran,Wade Miley,
16,Adrian Houser,Freddy Peralta,Corbin Burnes,Colin Rea,Julio Teheran,
17,Wade Miley,Adrian Houser,Freddy Peralta,Corbin Burnes,Colin Rea,
18,Wade Miley,Corbin Burnes,Freddy Peralta,Adrian Houser,Julio Teheran,
19,Colin Rea,Corbin Burnes,Freddy Peralta,Adrian Houser,Julio Teheran,
20,Colin Rea,Corbin Burnes,Freddy Peralta,Adrian Houser,Julio Teheran,
21,Colin Rea,Corbin Burnes,Freddy Peralta,Wade Miley,Adrian Houser,
22,Colin Rea,Corbin Burnes,Brandon Woodruff,Freddy Peralta,Wade Miley,
23,Adrian Houser,Corbin Burnes,Brandon Woodruff,Freddy Peralta,Adrian Houser,
24,Wade Miley,,,,,
