cycle,ace,no2,no3,no4,no5,
0,Pablo Lopez,Sonny Gray,Joe Ryan,Tyler Mahle,Kenta Maeda,
1,Pablo Lopez,Sonny Gray,Joe Ryan,Tyler Mahle,Kenta Maeda,
2,Pablo Lopez,Sonny Gray,Joe Ryan,Louie Varland,Tyler Mahle,
3,Pablo Lopez,Sonny Gray,Joe Ryan,Kenta Maeda,Tyler Mahle,
4,Pablo Lopez,Bailey Ober,Sonny Gray,Joe Ryan,Kenta Maeda,
5,Tyler Mahle,Pablo Lopez,Bailey Ober,Sonny Gray,Joe Ryan,
6,Louie Varland,Pablo Lopez,Bailey Ober,Sonny Gray,Joe Ryan,
7,Louie Varland,Pablo Lopez,Bailey Ober,Sonny Gray,Joe Ryan,
8,Louie Varland,Pablo Lopez,Bailey Ober,Sonny Gray,Joe Ryan,
9,Louie Varland,Pablo Lopez,Bailey Ober,Sonny Gray,Joe Ryan,
10,Louie Varland,Pablo Lopez,Bailey Ober,Sonny Gray,Joe Ryan,
11,Louie Varland,Pablo Lopez,Bailey Ober,Sonny Gray,Joe Ryan,
12,Louie Varland,Pablo Lopez,Bailey Ober,Sonny Gray,Joe Ryan,
13,Louie Varland,Pablo Lopez,Bailey Ober,Sonny Gray,Joe Ryan,
14,Jose De,Louie Varland,Pablo Lopez,Bailey Ober,Sonny Gray,
15,Joe Ryan,Kenta Maeda,Pablo Lopez,Bailey Ober,Sonny Gray,
16,Joe Ryan,Kenta Maeda,Pablo Lopez,Bailey Ober,Sonny Gray,
17,Joe Ryan,Kenta Maeda,Pablo Lopez,Bailey Ober,Sonny Gray,
18,Joe Ryan,Kenta Maeda,Pablo Lopez,Joe Ryan,Sonny Gray,
19,Bailey Ober,Kenta Maeda,Pablo Lopez,Joe Ryan,Sonny Gray,
20,Bailey Ober,Kenta Maeda,Pablo Lopez,Joe Ryan,Sonny Gray,
21,Bailey Ober,Kenta Maeda,Pablo Lopez,Joe Ryan,Sonny Gray,
22,Bailey Ober,Kenta Maeda,Dallas Keuchel,Pablo Lopez,Sonny Gray,
23,Bailey Ober,Kenta Maeda,Dallas Keuchel,Pablo Lopez,Sonny Gray,
24,Bailey Ober,Kenta Maeda,Pablo Lopez,,,
