cycle,ace,no2,no3,no4,no5,
0,Aaron Nola,Zack Wheeler,Bailey Falter,Taijuan Walker,Matt Strahm,
1,Aaron Nola,Zack Wheeler,Bailey Falter,Taijuan Walker,Matt Strahm,
2,Aaron Nola,Zack Wheeler,Bailey Falter,Taijuan Walker,Matt Strahm,
3,Aaron Nola,Bailey Falter,Taijuan Walker,Matt Strahm,Aaron Nola,
4,Cristopher Sanchez,Zack Wheeler,Bailey Falter,Taijuan Walker,Matt Strahm,
5,Aaron Nola,Zack Wheeler,Bailey Falter,Taijuan Walker,Matt Strahm,
6,Aaron Nola,Zack Wheeler,Bailey Falter,Taijuan Walker,Aaron Nola,
7,Zack Wheeler,Taijuan Walker,Ranger Suarez,Aaron Nola,Connor Brogdon,
8,Zack Wheeler,Taijuan Walker,Ranger Suarez,Aaron Nola,Taijuan Walker,
9,Zack Wheeler,Matt Strahm,Ranger Suarez,Aaron Nola,Taijuan Walker,
10,Zack Wheeler,Dylan Covey,Ranger Suarez,Aaron Nola,Taijuan Walker,
11,Zack Wheeler,Matt Strahm,Ranger Suarez,Aaron Nola,Taijuan Walker,
12,Zack Wheeler,Ranger Suarez,Aaron Nola,Taijuan Walker,Matt Strahm,
13,Zack Wheeler,Ranger Suarez,Aaron Nola,Taijuan Walker,Cristopher Sanchez,
14,Zack Wheeler,Ranger Suarez,Aaron Nola,Taijuan Walker,Cristopher Sanchez,
15,Zack Wheeler,Ranger Suarez,Aaron Nola,Taijuan Walker,Cristopher Sanchez,
16,Zack Wheeler,Ranger Suarez,Aaron Nola,Taijuan Walker,Cristopher Sanchez,
17,Zack Wheeler,Ranger Suarez,Aaron Nola,Cristopher Sanchez,Taijuan Walker,
18,Zack Wheeler,Aaron Nola,Cristopher Sanchez,Taijuan Walker,Ranger Suarez,
19,Zack Wheeler,Aaron Nola,Cristopher Sanchez,Taijuan Walker,Ranger Suarez,
20,Zack Wheeler,Aaron Nola,Cristopher Sanchez,Taijuan Walker,Ranger Suarez,
21,Zack Wheeler,Michael Lorenzen,Aaron Nola,Cristopher Sanchez,Taijuan Walker,
22,Ranger Suarez,Michael Lorenzen,Aaron Nola,Cristopher Sanchez,Taijuan Walker,
23,Ranger Suarez,Zack Wheeler,Aaron Nola,Michael Lorenzen,Cristopher Sanchez,
24,Zack Wheeler,Aaron Nola,Taijuan Walker,Michael Lorenzen,Cristopher Sanchez,
25,Zack Wheeler,Aaron Nola,Taijuan Walker,Michael Lorenzen,Cristopher Sanchez,
26,Zack Wheeler,Aaron Nola,Ranger Suarez,Taijuan Walker,Michael Lorenzen,
27,Zack Wheeler,Cristopher Sanchez,Aaron Nola,Ranger Suarez,,
