cycle,ace,no2,no3,no4,no5,
0,Miles Mikolas,Jack Flaherty,Jordan Montgomery,Jake Woodford,Steven Matz,
1,Miles Mikolas,Jack Flaherty,Jordan Montgomery,Jake Woodford,Steven Matz,
2,Miles Mikolas,Jack Flaherty,Jordan Montgomery,Jake Woodford,Steven Matz,
3,Miles Mikolas,Jack Flaherty,Jordan Montgomery,Jake Woodford,Steven Matz,
4,Miles Mikolas,Jack Flaherty,Jordan Montgomery,Jake Woodford,Steven Matz,
5,Miles Mikolas,Jack Flaherty,Jordan Montgomery,Jake Woodford,Steven Matz,
6,Miles Mikolas,Jack Flaherty,Jordan Montgomery,Adam Wainwright,Steven Matz,
7,Miles Mikolas,Jack Flaherty,Jordan Montgomery,Adam Wainwright,Steven Matz,
8,Miles Mikolas,Jack Flaherty,Jordan Montgomery,Matthew Liberatore,Adam Wainwright,
9,Steven Matz,Miles Mikolas,Jack Flaherty,Jordan Montgomery,Adam Wainwright,
10,Steven Matz,Miles Mikolas,Matthew Liberatore,Jack Flaherty,Jordan Montgomery,
11,Adam Wainwright,Miles Mikolas,Jack Flaherty,Jordan Montgomery,Miles Mikolas,
12,Adam Wainwright,Matthew Liberatore,Jack Flaherty,Jordan Montgomery,Miles Mikolas,
13,Adam Wainwright,Matthew Liberatore,Jack Flaherty,Jordan Montgomery,Miles Mikolas,
14,Adam Wainwright,Matthew Liberatore,Jack Flaherty,Jordan Montgomery,Miles Mikolas,
15,Adam Wainwright,Matthew Liberatore,Jordan Montgomery,Miles Mikolas,Adam Wainwright,
16,Matthew Liberatore,Jordan Montgomery,Miles Mikolas,Adam Wainwright,Matthew Liberatore,
17,Jack Flaherty,Jordan Montgomery,Miles Mikolas,Steven Matz,Miles Mikolas,
18,Steven Matz,Jack Flaherty,Miles Mikolas,Jordan Montgomery,Dakota Hudson,
19,Steven Matz,Jack Flaherty,Miles Mikolas,Jordan Montgomery,Adam Wainwright,
20,Steven Matz,Jack Flaherty,Dakota Hudson,Jordan Montgomery,Adam Wainwright,
21,Steven Matz,Miles Mikolas,Dakota Hudson,Matthew Liberatore,Adam Wainwright,
22,Steven Matz,Zack Thompson,Miles Mikolas,Dakota Hudson,Matthew Liberatore,
23,Adam Wainwright,Steven Matz,Miles Mikolas,Dakota Hudson,Matthew Liberatore,
24,Adam Wainwright,Zack Thompson,Miles Mikolas,Dakota Hudson,Drew Rom,
25,Adam Wainwright,Zack Thompson,Miles Mikolas,Dakota Hudson,Drew Rom,
26,Adam Wainwright,Zack Thompson,Miles Mikolas,Dakota Hudson,Drew Rom,
27,Zack Thompson,Miles Mikolas,Dakota Hudson,Adam Wainwright,Drew Rom,
28,Zack Thompson,Miles Mikolas,Dakota Hudson,Adam Wainwright,Drew Rom,
29,Zack Thompson,Miles Mikolas,,,,
