cycle,ace,no2,no3,no4,no5,
0,Jacob Degrom,Nathan Eovaldi,Martin Perez,Jon Gray,Andrew Heaney,
1,Jacob Degrom,Nathan Eovaldi,Martin Perez,Jon Gray,Andrew Heaney,
2,Jacob Degrom,Nathan Eovaldi,Martin Perez,Jon Gray,Andrew Heaney,
3,Jacob Degrom,Nathan Eovaldi,Martin Perez,Jon Gray,Andrew Heaney,
4,Jacob Degrom,Nathan Eovaldi,Martin Perez,Jon Gray,Andrew Heaney,
5,Jacob Degrom,Nathan Eovaldi,Martin Perez,Jon Gray,Andrew Heaney,
6,Dane Dunning,Nathan Eovaldi,Martin Perez,Jon Gray,Andrew Heaney,
7,Dane Dunning,Nathan Eovaldi,Martin Perez,Jon Gray,Andrew Heaney,
8,Cody Bradford,Dane Dunning,Nathan Eovaldi,Martin Perez,Jon Gray,
9,Andrew Heaney,Dane Dunning,Nathan Eovaldi,Martin Perez,Jon Gray,
10,Andrew Heaney,Cody Bradford,Nathan Eovaldi,Martin Perez,Dane Dunning,
11,Jon Gray,Andrew Heaney,Nathan Eovaldi,Martin Perez,Dane Dunning,
12,Jon Gray,Andrew Heaney,Nathan Eovaldi,Martin Perez,Dane Dunning,
13,Cody Bradford,Andrew Heaney,Nathan Eovaldi,Martin Perez,Dane Dunning,
14,Jon Gray,Andrew Heaney,Nathan Eovaldi,Martin Perez,Dane Dunning,
15,Jon Gray,Nathan Eovaldi,Andrew Heaney,Martin Perez,Dane Dunning,
16,Cody Bradford,Jon Gray,Nathan Eovaldi,Andrew Heaney,Martin Perez,
17,Dane Dunning,Jon Gray,Nathan Eovaldi,Cody Bradford,Andrew Heaney,
18,Dane Dunning,Jon Gray,Andrew Heaney,Martin Perez,Dane Dunning,
19,Nathan Eovaldi,Jon Gray,Andrew Heaney,Dane Dunning,Martin Perez,
20,Jon Gray,Yerry Rodriguez,Andrew Heaney,Dane Dunning,Martin Perez,
21,Cody Bradford,Andrew Heaney,Dane Dunning,Max Scherzer,Jordan Montgomery,
22,Jon Gray,Andrew Heaney,Dane Dunning,Max Scherzer,Jordan Montgomery,
23,Jon Gray,Andrew Heaney,Dane Dunning,,,
