cycle,ace,no2,no3,no4,no5,
0,Alek Manoah,Kevin Gausman,Chris Bassitt,Jose Berrios,Yusei Kikuchi,
1,Alek Manoah,Kevin Gausman,Chris Bassitt,Jose Berrios,Yusei Kikuchi,
2,Alek Manoah,Kevin Gausman,Chris Bassitt,Jose Berrios,Yusei Kikuchi,
3,Alek Manoah,Kevin Gausman,Chris Bassitt,Jose Berrios,Yusei Kikuchi,
4,Alek Manoah,Kevin Gausman,Chris Bassitt,Jose Berrios,Yusei Kikuchi,
5,Alek Manoah,Kevin Gausman,Chris Bassitt,Jose Berrios,Yusei Kikuchi,
6,Alek Manoah,Kevin Gausman,Chris Bassitt,Jose Berrios,Yusei Kikuchi,
7,Alek Manoah,Kevin Gausman,Chris Bassitt,Jose Berrios,Yusei Kikuchi,
8,Alek Manoah,Kevin Gausman,Chris Bassitt,Jose Berrios,Yusei Kikuchi,
9,Alek Manoah,Kevin Gausman,Chris Bassitt,Jose Berrios,Yusei Kikuchi,
10,Alek Manoah,Kevin Gausman,Chris Bassitt,Jose Berrios,Yusei Kikuchi,
11,Alek Manoah,Kevin Gausman,Chris Bassitt,Jose Berrios,Yusei Kikuchi,
12,Alek Manoah,Kevin Gausman,Chris Bassitt,Jose Berrios,Yusei Kikuchi,
13,Trevor Richards,Kevin Gausman,Chris Bassitt,Jose Berrios,Yusei Kikuchi,
14,Kevin Gausman,Trevor Richards,Chris Bassitt,Jose Berrios,Yusei Kikuchi,
15,Kevin Gausman,Chris Bassitt,Jose Berrios,Yusei Kikuchi,Kevin Gausman,
16,Trevor Richards,Chris Bassitt,Jose Berrios,Yusei Kikuchi,Kevin Gausman,
17,Chris Bassitt,Jose Berrios,Alek Manoah,Kevin Gausman,Chris Bassitt,
18,Jose Berrios,Chris Bassitt,Yusei Kikuchi,Alek Manoah,Jose Berrios,
19,Chris Bassitt,Yusei Kikuchi,Kevin Gausman,Alek Manoah,Jose Berrios,
20,Chris Bassitt,Yusei Kikuchi,Kevin Gausman,Alek Manoah,Jose Berrios,
21,Chris Bassitt,Hyun Jin,Yusei Kikuchi,Kevin Gausman,Alek Manoah,
22,Jose Berrios,Chris Bassitt,Hyun Jin,Yusei Kikuchi,Kevin Gausman,
23,Alek Manoah,Jose Berrios,Chris Bassitt,Hyun Jin,Yusei Kikuchi,
24,Kevin Gausman,Jose Berrios,Chris Bassitt,Hyun Jin,Yusei Kikuchi,
25,Kevin Gausman,Jose Berrios,Chris Bassitt,Hyun Jin,Yusei Kikuchi,
26,Kevin Gausman,Jose Berrios,Chris Bassitt,Hyun Jin,Yusei Kikuchi,
